11/06/2012,FT09927,FT09927-1,27,7:31:00 AM,n_a,1,0,0,12,3,0,0,12,3,7:41:00 AM,0,No,"WEWP HEARD ON AUDIO RECORDING, THIS IS WHY IT ISN'T ON THE PC MAP.",27,31/07/2012
11/06/2012,FT09981,FT09981-1,27,9:46:00 AM,n_a,1,2,0,18,3,2,0,18,3,9:56:00 AM,0,No,,27,31/07/2012
14/06/2013,FT10303,FT10303-1,69,4:54:00 AM,n_a,1,0,0,12,1,0,0,8,1,5:04:00 AM,2,N,Bird deterrent to N - loud and continuous.,69,31/07/2013
14/06/2013,FT10304,FT10304-1,69,8:16:00 AM,n_a,1,0,0,12,2,0,0,12,2,8:26:00 AM,3,N,Bird deterrent to N - loud and continuous.,69,31/07/2013
14/06/2013,FT10305,FT10305-1,69,6:33:00 AM,n_a,1,0,0,7,1,0,0,7,1,6:43:00 AM,3,N,Bird deterrent to N - loud and continuous.,69,31/07/2013
14/06/2013,FT10306,FT10306-1,69,5:30:00 AM,n_a,1,0,0,8,1,0,0,7,1,5:40:00 AM,2,N,Bird deterrent to N - loud and continuous.,69,31/07/2013
14/06/2013,FT10311,FT10311-1,69,9:30:00 AM,n_a,1,0,0,17,2,0,0,19,1,9:40:00 AM,1,N,Bird deterrent to N - less audible. CONI heard before point count.,69,31/07/2013
14/06/2013,FT10312,FT10312-1,69,9:02:00 AM,n_a,1,0,0,14,2,0,0,13,2,9:12:00 AM,1,N,,69,31/07/2013
14/06/2013,FT10313,FT10313-1,86,7:03:00 AM,n_a,1,0,0,10,0,0,0,9,0,7:13:00 AM,2,N,TAILINGS POND BIRD DETERRENTS IN DISTANCE,86,31/07/2013
14/06/2013,FT10314,FT10314-1,86,6:19:00 AM,n_a,1,0,0,8,0,0,0,9,0,6:29:00 AM,2,N,BCCH SINGING WITHIN 50M AFTER PC,86,31/07/2013
14/06/2013,FT10315,FT10315-1,41,6:15:00 AM,n_a,1,0,0,6,1,0,0,6,1,6:25:00 AM,2,N,Deterants going off in NE throughout PC,41,31/07/2013
14/06/2013,FT10316,FT10316-1,86,7:38:00 AM,n_a,1,0,0,11,0,0,0,11,0,7:48:00 AM,2,Y,"DOWO CALLING HEARD WITHIN 50M AFTER PC, AND TAILINGS POND BIRD DETERRENTS",86,31/07/2013
14/06/2013,FT10317,FT10317-1,41,6:54:00 AM,n_a,1,0,0,7,0,0,0,8,0,7:04:00 AM,2,N,Noise from deterant,41,31/07/2013
14/06/2013,FT10318,FT10318-1,41,5:34:00 AM,n_a,1,0,0,7,1,0,0,4,1,5:44:00 AM,2,N,Noise from deterant,41,31/07/2013
14/06/2013,FT10319,FT10319-1,86,8:23:00 AM,n_a,1,0,0,14,1,2,0,14,1,8:33:00 AM,2,Y,TAILINGS POND BIRD DETERRENTS. YBSA HEARD WITHIN 50M AFTER PCS,86,31/07/2013
14/06/2013,FT10320,FT10320-1,86,5:05:00 AM,n_a,1,0,0,10,1,0,0,8,1,5:15:00 AM,2,N,TAILINGS POND BIRD DETERRENTS IN DISTANCE,86,31/07/2013
14/06/2013,FT10322,FT10322-1,41,7:30:00 AM,n_a,1,0,0,9,0,0,0,10,0,7:40:00 AM,2,N,Noise from deterant,41,31/07/2013
14/06/2013,FT10324,FT10324-1,41,4:55:00 AM,n_a,1,0,0,10,1,0,0,8,1,5:05:00 AM,2,N,"Noise from deterant in NE. The UNKN(5) and RBGR(6) in SE were very confusing, both were singjng often. Try to confirm in recording; may have been more, or different, with species.",41,31/07/2013
14/06/2013,FT10327,FT10327-1,86,9:10:00 AM,n_a,1,2,0,15,0,0,0,15,0,9:20:00 AM,1,N,NOISE DUE TO BUGS,86,31/07/2013
14/06/2013,FT10328,FT10328-1,86,9:32:00 AM,n_a,1,2,0,16,0,2,0,17,0,9:42:00 AM,0,N,,86,31/07/2013
14/06/2013,FT10370,FT10370-1,86,5:42:00 AM,n_a,1,0,0,9,1,0,0,6,0,5:52:00 AM,2,N,TAILINGS POND BIRD DETERRENTS IN DISTANCE,86,31/07/2013
14/06/2013,FT10371,FT10371-1,41,8:06:00 AM,n_a,1,0,0,12,1,0,0,12,1,8:16:00 AM,2,N,Noise from deterent in NE.  And mosquito noise.,41,31/07/2013
14/06/2013,FT10373,FT10373-1,41,8:44:00 AM,n_a,1,0,0,14,2,2,0,14,2,8:54:00 AM,2,N,Noise from deterent in NE.  And mosquito noise.,41,31/07/2013
14/06/2013,FT10374,FT10374-1,69,7:40:00 AM,n_a,1,0,0,10,0,0,0,10,0,7:50:00 AM,3,N,Bird deterrent to N - loud and continuous.,69,31/07/2013
14/06/2013,FT10375,FT10375-1,69,7:04:00 AM,n_a,1,0,0,9,0,0,0,9,0,7:14:00 AM,3,N,Bird deterrent to N - loud and continuous. Other industry noise to W.,69,31/07/2013
14/06/2013,FT10376,FT10376-1,69,6:02:00 AM,n_a,1,1,0,8,1,1,0,8,1,6:12:00 AM,3,N,Bird deterrent to N - loud and continuous. Other industry noise to W.,69,31/07/2013
14/06/2013,FT10380,FT10380-1,41,9:31:00 AM,n_a,1,0,0,15,1,1,0,17,1,9:41:00 AM,0,N,Had to move PC off unexpected cutline… couldn't move too far E before being close to other habitat though.,41,31/07/2013
22/06/2013,FT10403,FT10403-1,65,5:50:00 AM,n_a,1,1,0,12,1,1,0,12,1,6:00:00 AM,,,,65,31/07/2013
22/06/2013,FT10404,FT10404-1,65,6:21:00 AM,n_a,1,1,0,13,1,1,0,12,1,6:31:00 AM,1,N,Fisher!,65,31/07/2013
22/06/2013,FT10406,FT10406-1,65,7:56:00 AM,n_a,1,2,0,16,0,2,0,16,0,8:06:00 AM,1,N,,65,31/07/2013
22/06/2013,FT10408,FT10408-1,69,4:56:00 AM,n_a,1,1,0,12,0,2,0,9,0,5:06:00 AM,2,N,"Bird deterrent to W and S. Noise 2-3, Wind 1-2",69,31/07/2013
22/06/2013,FT10410,FT10410-1,69,5:31:00 AM,n_a,1,2,0,11,0,2,0,10,0,5:41:00 AM,2,N,Bird deterrent to S + W. Some heli flying noise. Some wind gusts to 3.,69,31/07/2013
22/06/2013,FT10411,FT10411-1,65,8:34:00 AM,n_a,1,2,0,16,0,2,0,,0,8:44:00 AM,1,N,,65,31/07/2013
22/06/2013,FT10414,FT10414-1,69,6:05:00 AM,n_a,1,3,0,12,1,3,0,12,1,6:15:00 AM,2,N,Bird deterrent to S + W. Wind gusts to 3/4. Difficult to hear anything. Wind gusts.,69,31/07/2013
22/06/2013,FT10415,FT10415-1,69,6:40:00 AM,n_a,1,2,0,13,1,2,0,12,1,6:50:00 AM,2,N,Bird deterrent to south and west,69,31/07/2013
22/06/2013,FT10416,FT10416-1,69,8:09:00 AM,n_a,1,2,0,16,0,3,0,16,0,8:19:00 AM,3,N,Bird deterrent to S + W. Additional industry noise to S + W. Wind gusts limit hearing.,69,31/07/2013
22/06/2013,FT10417,FT10417-1,65,9:22:00 AM,n_a,1,3,0,18,0,3,0,17,0,9:32:00 AM,2,N,Getting windy.,65,31/07/2013
22/06/2013,FT10420,FT10420-1,69,7:13:00 AM,n_a,1,3,0,13,1,3,0,13,1,7:23:00 AM,3,N,Bird deterrent to S + W. Wind gusts to 3+. Difficult to hear quiet or >50m birds during gusts,69,31/07/2013
22/06/2013,FT10421,FT10421-1,86,5:23:00 AM,n_a,1,2,0,11,0,3,0,10,0,5:33:00 AM,3,N,"Radio, helicopter and compressor noise.  Noise code ~4 for a short time period around 9min into PC. CHSP heard sining w/in 50m in quad 3 after PC.",86,31/07/2013
22/06/2013,FT10422,FT10422-1,86,4:49:00 AM,n_a,1,1,0,13,0,2,0,10,0,4:59:00 AM,1,N,"Deterrent popping in distance and slight wind. UNWO drum heard within 50 meters, after PC",86,31/07/2013
22/06/2013,FT10424,FT10424-1,86,5:54:00 AM,n_a,1,3,0,12,1,3,0,12,1,6:04:00 AM,1,N,,86,31/07/2013
22/06/2013,FT10425,FT10425-1,69,8:47:00 AM,n_a,1,3,0,17,0,3,0,16,0,8:57:00 AM,2,N,Bird deterrent to S + W. Industrial noise to s. Wind gusts to 3+.,69,31/07/2013
22/06/2013,FT10427,FT10427-1,86,6:30:00 AM,n_a,1,3,0,14,1,3,0,13,1,6:40:00 AM,1,N,GRYE heard alarm calling on audio prior to start of PC.,86,31/07/2013
22/06/2013,FT10428,FT10428-1,86,7:04:00 AM,n_a,1,3,0,13,0,4,0,13,0,7:14:00 AM,2,N,"wind gusting to 5. Wind picked up ~4 min into pc, gusting up to 5 so not hearing most birds <50m during some parts of PC",86,31/07/2013
22/06/2013,FT10429,FT10429-1,86,7:37:00 AM,n_a,1,2,0,14,0,4,0,14,0,7:47:00 AM,2,N,"wind gusting to 5 at points, difficult to hear birds >50m during gusts. YBSA within 50m in quad 4 after PC, RBGR within 50m in quad 4 after PC",86,31/07/2013
22/06/2013,FT10430,FT10430-1,69,9:25:00 AM,n_a,1,3,0,17,0,3,0,17,0,9:35:00 AM,3,N,"Bird deterrent, industy noise, wind gusts to 3+. Airplane overhead in time-period 5. Difficult to hear quiet birds or >50m birds.",69,31/07/2013
22/06/2013,FT10432,FT10432-1,86,9:11:00 AM,n_a,1,3,0,17,0,4,0,17,0,9:21:00 AM,2,N,wind gusting to 4 and 5. BAWW within 50m in quad 1 after PC,86,31/07/2013
22/06/2013,FT10433,FT10433-1,86,8:28:00 AM,n_a,1,3,0,16,0,5,0,16,0,8:38:00 AM,1,N,"wind gusting to 5, difficult to hear birds >50m throughout, within 50m and various pts.",86,31/07/2013
22/06/2013,FT10470,FT10470-1,65,4:32:00 AM,n_a,1,0,0,10,0,0,0,9,0,4:42:00 AM,1,N,,65,31/07/2013
22/06/2013,FT10471,FT10471-1,65,5:00:00 AM,n_a,1,1,0,9,1,1,0,9,1,5:10:00 AM,1,N,,65,31/07/2013
22/06/2013,FT10472,FT10472-1,65,7:03:00 AM,n_a,1,1,0,13,1,1,0,13,1,7:13:00 AM,1,N,Noise: distant …?,65,31/07/2013
21/06/2013,FT10501,FT10501-1,86,7:37:00 AM,n_a,1,0,0,13,0,1,0,14,0,7:47:00 AM,2,N,"Noise from stream, compressor noise, bugs",86,31/07/2013
21/06/2013,FT10502,FT10502-1,69,5:37:00 AM,n_a,1,0,0,11,0,0,0,10,0,5:47:00 AM,1,N,Part of polygon to E of PC02 and W of small polygon of DM7 was Sw dominated but 150m around PC was Sb6 not Sw6. Cannot see any large Sw in area.,69,31/07/2013
21/06/2013,FT10503,FT10503-1,69,6:07:00 AM,n_a,1,1,0,10,0,1,0,11,0,6:17:00 AM,1,N,Faint bird deterrent noise to south. This part of Sw6 polygon near PC03 is Sw6 (approx 150m around PC). Entire polygon not typed correctly,69,31/07/2013
21/06/2013,FT10504,FT10504-1,86,4:46:00 AM,n_a,1,0,0,11,0,0,0,9,0,4:56:00 AM,1,N,compressor/deterent noise in the background. YBFL and RCKI heard within 50m in quad 3 after PC.,86,31/07/2013
21/06/2013,FT10505,FT10505-1,69,4:59:00 AM,n_a,1,0,0,12,0,0,0,10,0,5:09:00 AM,1,N,Faint bird deterrent noise to south.,69,31/07/2013
21/06/2013,FT10506,FT10506-1,86,8:29:00 AM,n_a,1,1,0,17,0,1,0,20,0,8:39:00 AM,1,N,noise from bugs,86,31/07/2013
21/06/2013,FT10507,FT10507-1,86,5:25:00 AM,n_a,1,0,0,11,0,0,0,10,0,5:35:00 AM,1,N,,86,31/07/2013
21/06/2013,FT10508,FT10508-1,86,9:13:00 AM,n_a,1,1,0,18,0,1,0,20,0,9:23:00 AM,1,N,"SPGR female flushed from nest ~30m from PC site in quad 1 (on way to PC). YRWA within 50m in quad 4 after PC. RCKI heard on way to PC site, ~>50m in quad 1.",86,31/07/2013
21/06/2013,FT10509,FT10509-1,86,9:40:00 AM,n_a,1,1,0,21,0,2,0,22,0,9:50:00 AM,0,N,CORA > 100m in quad 1 aafter PC,86,31/07/2013
21/06/2013,FT10512,FT10512-1,69,7:24:00 AM,n_a,1,1,0,14,0,0,0,15,0,7:34:00 AM,2,N,Bird deterrent south of PC,69,31/07/2013
21/06/2013,FT10514,FT10514-1,69,8:27:00 AM,n_a,1,0,0,20,0,0,0,20,0,8:37:00 AM,0,N,,69,31/07/2013
21/06/2013,FT10516,FT10516-1,69,9:00:00 AM,n_a,1,0,0,19,0,0,0,19,0,9:10:00 AM,0,N,,69,31/07/2013
21/06/2013,FT10519,FT10519-1,69,9:39:00 AM,n_a,1,0,0,22,0,0,0,23,0,9:49:00 AM,0,N,Temp is warm - only 2 birds singing at 9:39am,69,31/07/2013
21/06/2013,FT10528,FT10528-1,65,9:10:00 AM,n_a,1,2,0,22,1,2,0,,1,9:20:00 AM,0,N,Very quiet. Finished for the day!,65,31/07/2013
21/06/2013,FT10529,FT10529-1,65,4:30:00 AM,n_a,1,0,0,6,1,0,0,6,1,4:40:00 AM,0,N,,65,31/07/2013
21/06/2013,FT10530,FT10530-1,65,5:44:00 AM,n_a,1,1,0,9,0,1,0,8,0,5:54:00 AM,0,N,,65,31/07/2013
21/06/2013,FT10531,FT10531-1,65,8:30:00 AM,n_a,1,2,0,21,0,2,0,22,0,8:40:00 AM,0,N,,65,31/07/2013
21/06/2013,FT10532,FT10532-1,65,5:11:00 AM,n_a,1,0,0,9,0,0,0,9,0,5:21:00 AM,0,N,,65,31/07/2013
21/06/2013,FT10533,FT10533-1,65,6:18:00 AM,n_a,1,2,0,13,0,1,0,12,0,6:28:00 AM,0,N,,65,31/07/2013
21/06/2013,FT10534,FT10534-1,65,6:54:00 AM,n_a,1,1,0,13,0,,,14,,7:04:00 AM,0,N,,65,31/07/2013
21/06/2013,FT10570,FT10570-1,86,6:09:00 AM,n_a,1,0,0,8,0,0,0,8,0,6:19:00 AM,1,N,YBFL in quad 3 within 50m before PC.  Check audio in case missed  (thought possibly heard once in time 5).,86,31/07/2013
21/06/2013,FT10571,FT10571-1,69,6:46:00 AM,n_a,1,1,0,12,0,1,0,12,0,6:56:00 AM,2,N,Bird deterrent to north and south. Bug noise. Loud TEWA. Strong chemical smell.,69,31/07/2013
21/06/2013,FT10572,FT10572-1,65,7:23:00 AM,n_a,1,0,0,17,0,0,0,18,0,7:33:00 AM,0,N,,65,31/07/2013
21/06/2013,FT10573,FT10573-1,65,7:50:00 AM,n_a,1,1,0,18,0,1,0,19,0,8:00:00 AM,0,N,,65,31/07/2013
21/06/2013,FT10575,FT10575-1,86,6:48:00 AM,n_a,1,0,0,11,0,0,0,10,0,6:58:00 AM,1,N,RCKI within 50m in quad 2 after PC,86,31/07/2013
21/06/2013,FT10580,FT10580-1,69,7:52:00 AM,n_a,1,0,0,16,0,0,0,17,0,8:02:00 AM,2,N,Bird deterrent to north and south of PC,69,31/07/2013
25/06/2013,FT10601,FT10601-1,65,7:32:00 AM,n_a,1,0,0,17,1,0,0,17,1,7:42:00 AM,1,N,Temp: 17.6 (start) and 17.8 (end)?,65,31/07/2013
25/06/2013,FT10602,FT10602-1,65,9:11:00 AM,n_a,1,0,0,19,0,0,0,20,0,9:21:00 AM,2,N,Noise: mine.,65,31/07/2013
25/06/2013,FT10604,FT10604-1,65,4:35:00 AM,n_a,1,0,0,7,1,0,0,7,1,4:45:00 AM,1,N,Noise: mine.,65,31/07/2013
25/06/2013,FT10607,FT10607-1,65,7:00:00 AM,n_a,1,0,0,10,1,0,0,10,1,7:10:00 AM,1,N,Temp: 10.2 (start) and 10.4 (end)?,65,31/07/2013
25/06/2013,FT10608,FT10608-1,86,4:39:00 AM,n_a,1,0,0,13,0,0,0,9,0,4:49:00 AM,1,Y,"some deterrent noise in background in south direction. YBSA heard calling within 50m in quad 1 after PC. ATTW pair comnfirmed by visual after PC, feeding and moving in/out of quad 4 w/in 50m of PC site.",86,31/07/2013
25/06/2013,FT10609,FT10609-1,65,6:30:00 AM,n_a,1,0,0,9,0,0,0,9,1,6:40:00 AM,1,N,Temp: 9.0 (start) and 9.0 (end)?,65,31/07/2013
25/06/2013,FT10611,FT10611-1,86,6:06:00 AM,n_a,1,0,0,10,0,0,0,9,0,6:16:00 AM,2,Y,,86,31/07/2013
25/06/2013,FT10612,FT10612-1,65,5:55:00 AM,n_a,1,0,0,8,1,0,0,8,1,6:05:00 AM,1,N,,65,31/07/2013
25/06/2013,FT10619,FT10619-1,86,6:53:00 AM,n_a,1,0,0,10,0,0,0,10,0,7:03:00 AM,2,Y,RESQ calling within 50m quad 4. Some helicopter noise in tim e5.,86,31/07/2013
25/06/2013,FT10624,FT10624-1,86,7:43:00 AM,n_a,1,0,0,15,0,0,0,18,0,7:53:00 AM,2,Y,"noise from deterrents, almost completely open with a ring on snags, remnanant trees ~100m away (most singing coming from there)",86,31/07/2013
25/06/2013,FT10625,FT10625-1,69,5:51:00 AM,n_a,1,0,0,11,1,0,0,11,0,6:01:00 AM,3,N,Bird deterrent loud and continuous to S. of PC (booms and shots),69,31/07/2013
25/06/2013,FT10628,FT10628-1,69,5:17:00 AM,n_a,1,0,0,12,0,0,0,12,1,5:27:00 AM,3,N,Bird deterrent to S. loud and continuous,69,31/07/2013
25/06/2013,FT10629,FT10629-1,86,8:17:00 AM,n_a,1,1,0,20,0,2,0,18,0,8:27:00 AM,2,Y,"No notes re: sex of WTSP visuals, must have forgotten",86,31/07/2013
25/06/2013,FT10631,FT10631-1,69,4:43:00 AM,n_a,1,0,0,13,0,0,0,11,0,4:53:00 AM,3,N,Bird deterrent loud and continuous to S. of PC,69,31/07/2013
25/06/2013,FT10633,FT10633-1,69,8:47:00 AM,n_a,1,0,0,27,0,0,0,30,0,8:57:00 AM,3,N,Bird deterrent directly S of PC,69,31/07/2013
25/06/2013,FT10634,FT10634-1,69,7:27:00 AM,n_a,1,0,0,19,0,0,0,18,0,7:37:00 AM,3,N,"Bird deterrent loud and continuous directly S of point count. Black bear chased CLM ~200-300m between PC25 and PC26. Bear was not afraid of CLM despite warning yells, loud screams, and waving. Bear ran after CLM but did not huff or snort or clack teeth; b",69,31/07/2013
25/06/2013,FT10635,FT10635-1,69,8:11:00 AM,n_a,1,0,0,23,0,0,0,26,0,8:21:00 AM,3,N,Bird deterrent loud and continuous directly S of PC. Loud noise S of PC. Wind 3+,69,31/07/2013
25/06/2013,FT10670,FT10670-1,65,5:15:00 AM,n_a,1,0,0,8,1,0,0,7,1,5:25:00 AM,1,N,,65,31/07/2013
25/06/2013,FT10671,FT10671-1,65,8:10:00 AM,n_a,1,0,0,18,0,0,0,18,0,8:20:00 AM,2,N,Noise: mine.,65,31/07/2013
25/06/2013,FT10672,FT10672-1,65,8:40:00 AM,n_a,1,1,0,17,0,1,0,17,0,8:50:00 AM,2,N,Noise: mine.,65,31/07/2013
25/06/2013,FT10673,FT10673-1,86,9:04:00 AM,n_a,1,2,0,17,0,1,0,21,0,9:14:00 AM,2,Y,radio interruption and heli noise ~6 min in.,86,31/07/2013
25/06/2013,FT10674,FT10674-1,86,9:31:00 AM,n_a,1,1,0,20,0,0,0,22,0,9:41:00 AM,2,Y,woodpecker drum heard after PC. Possibly also a YRWA after PC,86,31/07/2013
25/06/2013,FT10675,FT10675-1,65,9:40:00 AM,n_a,1,1,0,19,1,1,0,19,1,9:50:00 AM,2,N,Noise: mine.,65,31/07/2013
25/06/2013,FT10680,FT10680-1,86,5:30:00 AM,n_a,1,0,0,10,0,0,0,9,0,5:40:00 AM,1,Y,unexpected powerline not mapped; moved PC further south b/c too close to powerline edge. (~140 m from powerline edge + 255 m from prev PC site FT 10608). BLJA heard >100m after PC in quad 1. 2nd WETA heard w/in 50 m in quad 2 after PC. ATTW seen w/in 50m,86,31/07/2013
28/06/2012,HE00201,HE00201-1,69,6:52:00 AM,n_a,1,2,0,14,0,3,0,14,0,7:02:00 AM,0,No,Wind code is 2-3 (gusts to 4).  Cloud cover is hazy.,69,31/07/2012
28/06/2012,HE00204,HE00204-1,69,6:00:00 AM,n_a,1,0,0,10,0,1,0,10,0,6:10:00 AM,0,No,Wind code is 0-1.,69,31/07/2012
28/06/2012,HE00208,HE00208-1,69,8:06:00 AM,n_a,1,2,0,18,0,4,0,18,0,8:16:00 AM,0,No,Wind code is 2-4.,69,31/07/2012
28/06/2012,HE00213,HE00213-1,98,6:17:00 AM,n_a,1,2,0,11,0,2,0,11,0,6:27:00 AM,1,No,2 RESQ,98,31/07/2012
28/06/2012,HE00219,HE00219-1,65,6:30:00 AM,n_a,1,2,0,11,0,2,0,11,0,6:40:00 AM,0,No,,65,31/07/2012
28/06/2012,HE00236,HE00236-1,98,5:41:00 AM,n_a,1,2,0,9,0,2,0,9,0,5:51:00 AM,0,No,CORA call and BLPW sing after,98,31/07/2012
28/06/2012,HE00238,HE00238-1,98,8:34:00 AM,n_a,1,4,0,16,0,4,0,16,0,8:44:00 AM,2,No,,98,31/07/2012
28/06/2012,HE00241,HE00241-1,98,6:55:00 AM,n_a,1,2,0,14,0,2,0,14,0,7:05:00 AM,1,No,,98,31/07/2012
28/06/2012,HE00243,HE00243-1,98,7:24:00 AM,n_a,1,4,0,14,0,4,0,14,0,7:34:00 AM,2,No,BHVI sing after,98,31/07/2012
28/06/2012,HE00281,HE00281-1,65,5:35:00 AM,n_a,1,2,0,10,0,3,0,10,0,5:45:00 AM,0,No,,65,31/07/2012
28/06/2012,HE00282,HE00282-1,65,7:22:00 AM,n_a,1,2,0,13,0,2,0,13,0,7:32:00 AM,0,No,,65,31/07/2012
28/06/2012,HE00283,HE00283-1,65,7:54:00 AM,n_a,1,3,0,16,0,3,0,16,0,8:04:00 AM,1,No,Noise 2-3.,65,31/07/2012
28/06/2012,HE00284,HE00284-1,65,8:14:00 AM,n_a,1,3,0,18,0,4,0,18,0,8:24:00 AM,2,No,Noise and Wind 3-4.,65,31/07/2012
28/06/2012,HE00285,HE00285-1,65,8:45:00 AM,n_a,1,4,0,18,0,5,0,18,0,8:55:00 AM,2,No,Too Windy,65,31/07/2012
28/06/2012,HE00291,HE00291-1,69,7:25:00 AM,n_a,1,2,0,14,0,4,0,14,0,7:35:00 AM,0,No,Wind code is 2-4 (gusts to 4).,69,31/07/2012
28/06/2012,HE00292,HE00292-1,69,8:37:00 AM,n_a,1,2,0,16,0,4,0,16,0,8:47:00 AM,0,No,Wind code is 2-4-5.  Wind gusts to 5. Snags and unburned trees swaying.  Difficult to hear birds within <50m due to wind gusts.,69,31/07/2012
22/06/2012,HE00409,HE00409-1,98,9:22:00 AM,n_a,1,2,0,19,1,2,0,19,1,9:32:00 AM,1,No,Not flagged,98,31/07/2012
22/06/2012,HE00411,HE00411-1,98,7:57:00 AM,n_a,1,1,0,12,0,1,0,12,0,8:07:00 AM,1,No,1 RESQ; Not flagged,98,31/07/2012
22/06/2012,HE00412,HE00412-1,65,8:58:00 AM,n_a,1,1,0,17,1,1,0,17,1,9:08:00 AM,0,No,,65,31/07/2012
22/06/2012,HE00416,HE00416-1,65,5:18:00 AM,n_a,1,0,0,8,0,0,0,8,0,5:28:00 AM,0,No,,65,31/07/2012
22/06/2012,HE00427,HE00427-1,69,6:43:00 AM,n_a,1,0,0,8,0,1,0,8,0,6:53:00 AM,0,No,Wind code is 0-1.,69,31/07/2012
22/06/2012,HE00428,HE00428-1,69,5:38:00 AM,n_a,1,0,0,9,0,1,0,9,0,5:48:00 AM,0,No,Wind code is 0-1.,69,31/07/2012
22/06/2012,HE00429,HE00429-1,65,7:40:00 AM,n_a,1,0,0,14,0,0,0,14,0,7:50:00 AM,0,No,,65,31/07/2012
22/06/2012,HE00430,HE00430-1,65,6:49:00 AM,n_a,1,1,0,9,0,1,0,9,0,6:59:00 AM,0,No,,65,31/07/2012
22/06/2012,HE00431,HE00431-1,65,9:27:00 AM,n_a,1,1,0,19,1,2,0,19,1,9:37:00 AM,0,No,Wind/Noise code is 1-2.,65,31/07/2012
22/06/2012,HE00441,HE00441-1,98,6:52:00 AM,n_a,1,1,0,9,0,1,0,9,0,7:02:00 AM,1,No,,98,31/07/2012
22/06/2012,HE00442,HE00442-1,98,6:23:00 AM,n_a,1,1,0,8,0,1,0,8,0,6:33:00 AM,1,No,AMRO in nearby harvest unit,98,31/07/2012
22/06/2012,HE00443,HE00443-1,65,6:04:00 AM,n_a,1,1,0,8,0,1,0,8,0,6:14:00 AM,1,No,,65,31/07/2012
22/06/2012,HE00447,HE00447-1,65,8:26:00 AM,n_a,1,0,0,17,1,0,0,17,1,8:36:00 AM,0,No,,65,31/07/2012
22/06/2012,HE00449,HE00449-1,98,5:41:00 AM,n_a,1,0,0,7,0,0,0,7,0,5:51:00 AM,1,No,1 RESQ,98,31/07/2012
22/06/2012,HE00471,HE00471-1,98,7:23:00 AM,n_a,1,1,0,13,0,1,0,13,0,7:33:00 AM,1,No,Not flagged,98,31/07/2012
22/06/2012,HE00472,HE00472-1,98,8:55:00 AM,n_a,1,3,0,18,1,3,0,18,1,9:05:00 AM,2,No,Not flagged; new construction road nearby,98,31/07/2012
22/06/2012,HE00473,HE00473-1,98,5:08:00 AM,n_a,1,0,0,6,0,0,0,6,0,5:18:00 AM,0,No,,98,31/07/2012
22/06/2012,HE00491,HE00491-1,69,6:11:00 AM,n_a,1,0,0,8,0,0,0,8,0,6:21:00 AM,0,No,,69,31/07/2012
22/06/2012,HE00492,HE00492-1,69,7:26:00 AM,n_a,1,0,0,13,0,0,0,13,0,7:36:00 AM,0,No,,69,31/07/2012
22/06/2012,HE00493,HE00493-1,69,8:07:00 AM,n_a,1,0,0,16,0,0,0,16,0,8:17:00 AM,0,No,,69,31/07/2012
22/06/2012,HE00494,HE00494-1,69,8:59:00 AM,n_a,1,0,0,18,1,1,0,18,1,9:09:00 AM,0,No,Wind code is 0-1 (gusts to 2). Heard CAWA at end of PC. CAWA flew in to <5m and circled with no vocalizations in response to the playback.,69,31/07/2012
13/06/2012,HE00511,HE00511-1,98,8:38:00 AM,n_a,1,0,3,13,2,0,3,13,2,8:48:00 AM,1,No,,98,31/07/2012
13/06/2012,HE00522,HE00522-1,69,6:31:00 AM,n_a,1,0,0,13,2,0,0,13,2,6:41:00 AM,1,Yes,Noise 2 due to RESQs. 1 RESQ w/in 50m and 1 RESQ >50m counter rattling during time 1.,69,31/07/2012
13/06/2012,HE00525,HE00525-1,69,9:04:00 AM,n_a,1,0,0,14,2,0,0,14,2,9:14:00 AM,0,Yes,No flag left at PC site,69,31/07/2012
14/06/2012,HE00526,HE00526-1,69,5:37:00 AM,n_a,1,0,0,11,2,1,0,11,2,5:47:00 AM,0,Yes,PC in windthrow area- see habitat assessment notes.  Wind code is 0-1.,69,31/07/2012
13/06/2012,HE00527,HE00527-1,98,7:08:00 AM,n_a,1,0,1,11,2,0,1,11,2,7:18:00 AM,1,No,,98,31/07/2012
13/06/2012,HE00528,HE00528-1,98,5:29:00 AM,n_a,1,0,0,11,2,0,0,11,2,5:39:00 AM,1,No,,98,31/07/2012
14/06/2012,HE00531,HE00531-1,98,6:29:00 AM,n_a,1,0,0,12,2,0,0,12,2,6:39:00 AM,0,No,1 RESQ,98,31/07/2012
14/06/2012,HE00533,HE00533-1,98,4:56:00 AM,n_a,1,0,0,12,2,0,0,12,2,5:06:00 AM,0,No,RBGR singning after,98,31/07/2012
14/06/2012,HE00534,HE00534-1,98,5:38:00 AM,n_a,1,2,1,11,2,2,1,11,2,5:48:00 AM,1,No,,98,31/07/2012
14/06/2012,HE00537,HE00537-1,69,6:16:00 AM,n_a,1,0,0,14,2,1,0,14,2,6:26:00 AM,0,Yes,Wind code is 0-1 (gusts to 2).,69,31/07/2012
13/06/2012,HE00571,HE00571-1,98,6:32:00 AM,n_a,1,0,0,15,2,0,0,15,2,6:42:00 AM,0,No,,98,31/07/2012
14/06/2012,HE00572,HE00572-1,98,7:10:00 AM,n_a,1,2,1,11,2,2,1,11,2,7:20:00 AM,1,No,1 RESQ; Not flagged; RBGR sing after,98,31/07/2012
