Item/Point,Version anglaise,Version française,,,,,,,,,,,,,,,,,
FT08912,FT089,NAD83,No,n_a,n_a,n_a,-110.210477,54.606729,GIS,point,75,TRUE,02/06/2012,Road,,,,,
FT08916,FT089,NAD83,No,n_a,n_a,n_a,-110.228144,54.607766,GIS,point,75,TRUE,02/06/2012,Road,,,,,
FT08920,FT089,NAD83,No,n_a,n_a,n_a,-110.210531,54.597735,GIS,point,75,TRUE,02/06/2012,Road,,,,,
FT08923,FT089,NAD83,No,n_a,n_a,n_a,-110.228656,54.634575,GIS,point,75,TRUE,01/06/2012,Road,,,,,
FT08924,FT089,NAD83,No,n_a,n_a,n_a,-110.182648,54.642811,GIS,point,75,TRUE,01/06/2012,Road,,,,,
FT08991,FT089,NAD83,No,n_a,n_a,n_a,-110.211799,54.610988,GPS,point,75,TRUE,02/06/2012,Road,,,,,
FT08992,FT089,NAD83,No,n_a,n_a,n_a,-110.194682,54.636774,GPS,point,75,TRUE,01/06/2012,Road,,,,,
FT08993,FT089,NAD83,No,n_a,n_a,n_a,-110.246223,54.60367,GPS,point,75,TRUE,02/06/2012,Road,,,,,
FT09007,FT090,NAD83,No,n_a,n_a,n_a,-110.064219,54.691372,GIS,point,75,TRUE,31/05/2012,Road,,,,,
FT09008,FT090,NAD83,No,n_a,n_a,n_a,-110.061929,54.684918,GIS,point,75,TRUE,31/05/2012,Road,,,,,
FT09011,FT090,NAD83,No,n_a,n_a,n_a,-110.072362,54.673308,GIS,point,75,TRUE,31/05/2012,Road,,,,,
FT09014,FT090,NAD83,No,n_a,n_a,n_a,-110.081667,54.702173,GIS,point,75,TRUE,30/05/2012,Road,,,,,
FT09015,FT090,NAD83,No,n_a,n_a,n_a,-110.08145,54.695155,GIS,point,75,TRUE,30/05/2012,Road,,,,,
FT09016,FT090,NAD83,No,n_a,n_a,n_a,-110.09416,54.689143,GIS,point,75,TRUE,30/05/2012,Road,,,,,
FT09019,FT090,NAD83,No,n_a,n_a,n_a,-110.065099,54.678409,GIS,point,75,TRUE,31/05/2012,Road,,,,,
FT09022,FT090,NAD83,No,n_a,n_a,n_a,-110.099438,54.68276,GIS,point,75,TRUE,31/05/2012,Road,,,,,
FT09091,FT090,NAD83,No,n_a,n_a,n_a,-110.076267,54.70091,GPS,point,75,TRUE,30/05/2012,Road,,,,,
FT09092,FT090,NAD83,No,n_a,n_a,n_a,-110.106469,54.679203,GPS,point,75,TRUE,31/05/2012,Road,,,,,
FT09911,FT099,NAD83,No,n_a,n_a,n_a,-111.869691,56.123544,GIS,point,15,TRUE,11/06/2012,Road,,,,,
FT09924,FT099,NAD83,No,n_a,n_a,n_a,-111.838522,56.154851,GIS,point,27,TRUE,11/06/2012,Road,,,,,
FT09925,FT099,NAD83,No,n_a,n_a,n_a,-111.839021,56.141591,GIS,point,27,TRUE,11/06/2012,Road,,,,,
FT09927,FT099,NAD83,No,n_a,n_a,n_a,-111.835489,56.145665,GIS,point,27,TRUE,11/06/2012,Road,,,,,
FT09981,FT099,NAD83,No,n_a,n_a,n_a,-111.842945,56.154945,GPS,point,27,TRUE,11/06/2012,Road,,,,,
FT10303,FT103,NAD83,No,n_a,n_a,n_a,-111.882937,56.906847,GIS,point,69,TRUE,14/06/2013,Road,,,,,
FT10304,FT103,NAD83,No,n_a,n_a,n_a,-111.883063,56.903832,GIS,point,69,TRUE,14/06/2013,Road,,,,,
FT10305,FT103,NAD83,No,n_a,n_a,n_a,-111.880856,56.900989,GIS,point,69,TRUE,14/06/2013,Road,,,,,
FT10306,FT103,NAD83,No,n_a,n_a,n_a,-111.876441,56.904018,GIS,point,69,TRUE,14/06/2013,Road,,,,,
FT10311,FT103,NAD83,No,n_a,n_a,n_a,-111.865292,56.920455,GIS,point,69,TRUE,14/06/2013,Road,,,,,
FT10312,FT103,NAD83,No,n_a,n_a,n_a,-111.859887,56.917979,GIS,point,69,TRUE,14/06/2013,Road,,,,,
FT10313,FT103,NAD83,No,n_a,n_a,n_a,-111.846598,56.909406,GIS,point,86,TRUE,14/06/2013,Road,,,,,
FT10314,FT103,NAD83,No,n_a,n_a,n_a,-111.843516,56.911499,GIS,point,86,TRUE,14/06/2013,Road,,,,,
FT10315,FT103,NAD83,No,n_a,n_a,n_a,-111.833161,56.919117,GIS,point,41,TRUE,14/06/2013,Road,,,,,
FT10316,FT103,NAD83,No,n_a,n_a,n_a,-111.83522,56.910436,GIS,point,86,TRUE,14/06/2013,Road,,,,,
FT10317,FT103,NAD83,No,n_a,n_a,n_a,-111.82848,56.919689,GIS,point,41,TRUE,14/06/2013,Road,,,,,
FT10318,FT103,NAD83,No,n_a,n_a,n_a,-111.828604,56.916145,GIS,point,41,TRUE,14/06/2013,Road,,,,,
FT10319,FT103,NAD83,No,n_a,n_a,n_a,-111.829652,56.910046,GIS,point,86,TRUE,14/06/2013,Road,,,,,
FT10320,FT103,NAD83,No,n_a,n_a,n_a,-111.828658,56.912299,GIS,point,86,TRUE,14/06/2013,Road,,,,,
FT10322,FT103,NAD83,No,n_a,n_a,n_a,-111.823119,56.921205,GIS,point,41,TRUE,14/06/2013,Road,,,,,
FT10324,FT103,NAD83,No,n_a,n_a,n_a,-111.821725,56.91589,GIS,point,41,TRUE,14/06/2013,Road,,,,,
FT10327,FT103,NAD83,No,n_a,n_a,n_a,-111.822147,56.911206,GIS,point,86,TRUE,14/06/2013,Road,,,,,
FT10328,FT103,NAD83,No,n_a,n_a,n_a,-111.819979,56.913189,GIS,point,86,TRUE,14/06/2013,Road,,,,,
FT10370,FT103,NAD83,No,n_a,n_a,n_a,-111.837542,56.914005,MAP,point,86,TRUE,14/06/2013,Road,,,,,
FT10371,FT103,NAD83,No,n_a,n_a,n_a,-111.816451,56.922281,GPS,point,41,TRUE,14/06/2013,Road,,,,,
FT10373,FT103,NAD83,No,n_a,n_a,n_a,-111.81337,56.92562,GPS,point,41,TRUE,14/06/2013,Road,,,,,
FT10374,FT103,NAD83,No,n_a,n_a,n_a,-111.89116,56.901862,MAP,point,69,TRUE,14/06/2013,Road,,,,,
FT10375,FT103,NAD83,No,n_a,n_a,n_a,-111.884854,56.898647,MAP,point,69,TRUE,14/06/2013,Road,,,,,
FT10376,FT103,NAD83,No,n_a,n_a,n_a,-111.873642,56.901065,MAP,point,69,TRUE,14/06/2013,Road,,,,,
FT10380,FT103,NAD83,No,n_a,n_a,n_a,-111.807636,56.922813,GPS,point,41,TRUE,14/06/2013,Road,,,,,
FT10403,FT104,NAD83,No,n_a,n_a,n_a,-111.198843,57.263135,GIS,point,65,TRUE,22/06/2013,Road,,,,,
FT10404,FT104,NAD83,No,n_a,n_a,n_a,-111.199302,57.260373,GIS,point,65,TRUE,22/06/2013,Road,,,,,
FT10406,FT104,NAD83,No,n_a,n_a,n_a,-111.199561,57.249062,GIS,point,65,TRUE,22/06/2013,Road,,,,,
FT10408,FT104,NAD83,No,n_a,n_a,n_a,-111.19123,57.262999,GIS,point,69,TRUE,22/06/2013,Road,,,,,
FT10410,FT104,NAD83,No,n_a,n_a,n_a,-111.188159,57.259955,GIS,point,69,TRUE,22/06/2013,Road,,,,,
FT10411,FT104,NAD83,No,n_a,n_a,n_a,-111.191139,57.248822,GIS,point,65,TRUE,22/06/2013,Road,,,,,
FT10414,FT104,NAD83,No,n_a,n_a,n_a,-111.181554,57.261583,GIS,point,69,TRUE,22/06/2013,Road,,,,,
FT10415,FT104,NAD83,No,n_a,n_a,n_a,-111.176873,57.264796,GIS,point,69,TRUE,22/06/2013,Road,,,,,
FT10416,FT104,NAD83,No,n_a,n_a,n_a,-111.171991,57.268237,GIS,point,69,TRUE,22/06/2013,Road,,,,,
FT10417,FT104,NAD83,No,n_a,n_a,n_a,-111.178009,57.247814,GIS,point,65,TRUE,22/06/2013,Road,,,,,
FT10420,FT104,NAD83,No,n_a,n_a,n_a,-111.17077,57.262189,GIS,point,69,TRUE,22/06/2013,Road,,,,,
FT10421,FT104,NAD83,No,n_a,n_a,n_a,-111.172469,57.252299,GIS,point,86,TRUE,22/06/2013,Road,,,,,
FT10422,FT104,NAD83,No,n_a,n_a,n_a,-111.171282,57.249551,GIS,point,86,TRUE,22/06/2013,Road,,,,,
FT10424,FT104,NAD83,No,n_a,n_a,n_a,-111.168535,57.256167,GIS,point,86,TRUE,22/06/2013,Road,,,,,
FT10425,FT104,NAD83,No,n_a,n_a,n_a,-111.163864,57.267111,GIS,point,69,TRUE,22/06/2013,Road,,,,,
FT10427,FT104,NAD83,No,n_a,n_a,n_a,-111.163027,57.258152,GIS,point,86,TRUE,22/06/2013,Road,,,,,
FT10428,FT104,NAD83,No,n_a,n_a,n_a,-111.159565,57.255607,GIS,point,86,TRUE,22/06/2013,Road,,,,,
FT10429,FT104,NAD83,No,n_a,n_a,n_a,-111.157248,57.253167,GIS,point,86,TRUE,22/06/2013,Road,,,,,
FT10430,FT104,NAD83,No,n_a,n_a,n_a,-111.151361,57.265995,GIS,point,69,TRUE,22/06/2013,Road,,,,,
FT10432,FT104,NAD83,No,n_a,n_a,n_a,-111.148323,57.259496,GIS,point,86,TRUE,22/06/2013,Road,,,,,
FT10433,FT104,NAD83,No,n_a,n_a,n_a,-111.147598,57.251689,GIS,point,86,TRUE,22/06/2013,Road,,,,,
FT10470,FT104,NAD83,No,n_a,n_a,n_a,-111.226363,57.252868,MAP,point,65,TRUE,22/06/2013,Road,,,,,
FT10471,FT104,NAD83,No,n_a,n_a,n_a,-111.224405,57.250111,MAP,point,65,TRUE,22/06/2013,Road,,,,,
FT10472,FT104,NAD83,No,n_a,n_a,n_a,-111.204127,57.256875,MAP,point,65,TRUE,22/06/2013,Road,,,,,
FT10501,FT105,NAD83,No,n_a,n_a,n_a,-110.963413,57.299739,GIS,point,86,TRUE,21/06/2013,Road,,,,,
FT10502,FT105,NAD83,No,n_a,n_a,n_a,-110.956277,57.313432,GIS,point,69,TRUE,21/06/2013,Road,,,,,
FT10503,FT105,NAD83,No,n_a,n_a,n_a,-110.953653,57.311229,GIS,point,69,TRUE,21/06/2013,Road,,,,,
FT10504,FT105,NAD83,No,n_a,n_a,n_a,-110.959721,57.290393,GIS,point,86,TRUE,21/06/2013,Road,,,,,
FT10505,FT105,NAD83,No,n_a,n_a,n_a,-110.950339,57.314998,GIS,point,69,TRUE,21/06/2013,Road,,,,,
FT10506,FT105,NAD83,No,n_a,n_a,n_a,-110.954035,57.301552,GIS,point,86,TRUE,21/06/2013,Road,,,,,
FT10507,FT105,NAD83,No,n_a,n_a,n_a,-110.955526,57.292565,GIS,point,86,TRUE,21/06/2013,Road,,,,,
FT10508,FT105,NAD83,No,n_a,n_a,n_a,-110.953091,57.297738,GIS,point,86,TRUE,21/06/2013,Road,,,,,
FT10509,FT105,NAD83,No,n_a,n_a,n_a,-110.947756,57.296643,GIS,point,86,TRUE,21/06/2013,Road,,,,,
FT10512,FT105,NAD83,No,n_a,n_a,n_a,-110.936837,57.31437,GIS,point,69,TRUE,21/06/2013,Road,,,,,
FT10514,FT105,NAD83,No,n_a,n_a,n_a,-110.929206,57.308686,GIS,point,69,TRUE,21/06/2013,Road,,,,,
FT10516,FT105,NAD83,No,n_a,n_a,n_a,-110.929596,57.303623,GIS,point,69,TRUE,21/06/2013,Road,,,,,
FT10519,FT105,NAD83,No,n_a,n_a,n_a,-110.923996,57.300303,GIS,point,69,TRUE,21/06/2013,Road,,,,,
FT10528,FT105,NAD83,No,n_a,n_a,n_a,-110.902808,57.308381,GIS,point,65,TRUE,21/06/2013,Road,,,,,
FT10529,FT105,NAD83,No,n_a,n_a,n_a,-110.9012,57.296793,GIS,point,65,TRUE,21/06/2013,Road,,,,,
FT10530,FT105,NAD83,No,n_a,n_a,n_a,-110.896986,57.299424,GIS,point,65,TRUE,21/06/2013,Road,,,,,
FT10531,FT105,NAD83,No,n_a,n_a,n_a,-110.89283,57.309163,GIS,point,65,TRUE,21/06/2013,Road,,,,,
FT10532,FT105,NAD83,No,n_a,n_a,n_a,-110.893816,57.2974,GIS,point,65,TRUE,21/06/2013,Road,,,,,
FT10533,FT105,NAD83,No,n_a,n_a,n_a,-110.892534,57.301124,GIS,point,65,TRUE,21/06/2013,Road,,,,,
FT10534,FT105,NAD83,No,n_a,n_a,n_a,-110.885359,57.304304,GIS,point,65,TRUE,21/06/2013,Road,,,,,
FT10570,FT105,NAD83,No,n_a,n_a,n_a,-110.961415,57.296618,MAP,point,86,TRUE,21/06/2013,Road,,,,,
FT10571,FT105,NAD83,No,n_a,n_a,n_a,-110.944336,57.31136,MAP,point,69,TRUE,21/06/2013,Road,,,,,
FT10572,FT105,NAD83,No,n_a,n_a,n_a,-110.880011,57.305308,MAP,point,65,TRUE,21/06/2013,Road,,,,,
FT10573,FT105,NAD83,No,n_a,n_a,n_a,-110.881969,57.308611,MAP,point,65,TRUE,21/06/2013,Road,,,,,
FT10575,FT105,NAD83,No,n_a,n_a,n_a,-110.969187,57.298487,MAP,point,86,TRUE,21/06/2013,Road,,,,,
FT10580,FT105,NAD83,No,n_a,n_a,n_a,-110.93222,57.312534,MAP,point,69,TRUE,21/06/2013,Road,,,,,
FT10601,FT106,NAD83,No,n_a,n_a,n_a,-111.444852,57.391739,GIS,point,65,TRUE,25/06/2013,Road,,,,,
FT10602,FT106,NAD83,No,n_a,n_a,n_a,-111.446278,57.382648,GIS,point,65,TRUE,25/06/2013,Road,,,,,
FT10604,FT106,NAD83,No,n_a,n_a,n_a,-111.442899,57.379999,Map,point,65,TRUE,25/06/2013,Road,,,,,
FT10607,FT106,NAD83,No,n_a,n_a,n_a,-111.436596,57.392487,GIS,point,65,TRUE,25/06/2013,Road,,,,,
FT10608,FT106,NAD83,No,n_a,n_a,n_a,-111.43173,57.406979,GIS,point,86,TRUE,25/06/2013,Road,,,,,
FT10609,FT106,NAD83,No,n_a,n_a,n_a,-111.436594,57.388756,GIS,point,65,TRUE,25/06/2013,Road,,,,,
FT10611,FT106,NAD83,No,n_a,n_a,n_a,-111.428614,57.411392,GIS,point,86,TRUE,25/06/2013,Road,,,,,
FT10612,FT106,NAD83,No,n_a,n_a,n_a,-111.435811,57.385592,Map,point,65,TRUE,25/06/2013,Road,,,,,
FT10619,FT106,NAD83,No,n_a,n_a,n_a,-111.414212,57.407936,GIS,point,86,TRUE,25/06/2013,Road,,,,,
FT10624,FT106,NAD83,No,n_a,n_a,n_a,-111.404585,57.406984,GIS,point,86,TRUE,25/06/2013,Road,,,,,
FT10625,FT106,NAD83,No,n_a,n_a,n_a,-111.407484,57.392641,GIS,point,69,TRUE,25/06/2013,Road,,,,,
FT10628,FT106,NAD83,No,n_a,n_a,n_a,-111.398653,57.395531,GIS,point,69,TRUE,25/06/2013,Road,,,,,
FT10629,FT106,NAD83,No,n_a,n_a,n_a,-111.394798,57.405141,GIS,point,86,TRUE,25/06/2013,Road,,,,,
FT10631,FT106,NAD83,No,n_a,n_a,n_a,-111.394814,57.397581,GIS,point,69,TRUE,25/06/2013,Road,,,,,
FT10633,FT106,NAD83,No,n_a,n_a,n_a,-111.384901,57.39195,GIS,point,69,TRUE,25/06/2013,Road,,,,,
FT10634,FT106,NAD83,No,n_a,n_a,n_a,-111.379165,57.394493,GIS,point,69,TRUE,25/06/2013,Road,,,,,
FT10635,FT106,NAD83,No,n_a,n_a,n_a,-111.37968,57.390703,GIS,point,69,TRUE,25/06/2013,Road,,,,,
FT10670,FT106,NAD83,No,n_a,n_a,n_a,-111.435021,57.381734,Map,point,65,TRUE,25/06/2013,Road,,,,,
FT10671,FT106,NAD83,No,n_a,n_a,n_a,-111.443069,57.388033,GPS,point,65,TRUE,25/06/2013,Road,,,,,
FT10672,FT106,NAD83,No,n_a,n_a,n_a,-111.443334,57.385297,Map,point,65,TRUE,25/06/2013,Road,,,,,
FT10673,FT106,NAD83,No,n_a,n_a,n_a,-111.398897,57.407058,MAP,point,86,TRUE,25/06/2013,Road,,,,,
FT10674,FT106,NAD83,No,n_a,n_a,n_a,-111.402692,57.409145,MAP,point,86,TRUE,25/06/2013,Road,,,,,
FT10675,FT106,NAD83,No,n_a,n_a,n_a,-111.451402,57.383843,Map,point,65,TRUE,25/06/2013,Road,,,,,
FT10680,FT106,NAD83,No,n_a,n_a,n_a,-111.432373,57.409648,MAP,point,86,TRUE,25/06/2013,Road,,,,,
HE00201,HE002,NAD83,No,n_a,n_a,n_a,-112.884765,57.377337,GIS,point,69,TRUE,28/06/2012,Heli,,,,,
HE00204,HE002,NAD83,No,n_a,n_a,n_a,-112.87455,57.373172,GIS,point,69,TRUE,28/06/2012,Heli,,,,,
HE00208,HE002,NAD83,No,n_a,n_a,n_a,-112.899944,57.375341,GIS,point,69,TRUE,28/06/2012,Heli,,,,,
HE00213,HE002,NAD83,No,n_a,n_a,n_a,-112.972298,57.367773,GIS,point,98,TRUE,28/06/2012,Heli,,,,,
HE00219,HE002,NAD83,No,n_a,n_a,n_a,-112.882558,57.361095,GIS,point,65,TRUE,28/06/2012,Heli,,,,,
HE00236,HE002,NAD83,No,n_a,n_a,n_a,-112.967806,57.364578,GIS,point,98,TRUE,28/06/2012,Heli,,,,,
HE00238,HE002,NAD83,No,n_a,n_a,n_a,-112.974767,57.375546,GIS,point,98,TRUE,28/06/2012,Heli,,,,,
HE00241,HE002,NAD83,No,n_a,n_a,n_a,-112.978888,57.36603,GIS,point,98,TRUE,28/06/2012,Heli,,,,,
HE00243,HE002,NAD83,No,n_a,n_a,n_a,-112.98497,57.368205,GIS,point,98,TRUE,28/06/2012,Heli,,,,,
HE00281,HE002,NAD83,No,n_a,n_a,n_a,-112.892184,57.35875,GPS,point,65,TRUE,28/06/2012,Heli,,,,,
HE00282,HE002,NAD83,No,n_a,n_a,n_a,-112.869378,57.361943,GPS,point,65,TRUE,28/06/2012,Heli,,,,,
HE00283,HE002,NAD83,No,n_a,n_a,n_a,-112.862481,57.358968,GPS,point,65,TRUE,28/06/2012,Heli,,,,,
HE00284,HE002,NAD83,No,n_a,n_a,n_a,-112.856905,57.359637,GPS,point,65,TRUE,28/06/2012,Heli,,,,,
HE00285,HE002,NAD83,No,n_a,n_a,n_a,-112.866013,57.364034,GPS,point,65,TRUE,28/06/2012,Heli,,,,,
HE00291,HE002,NAD83,No,n_a,n_a,n_a,-112.889824,57.37654,GPS,point,69,TRUE,28/06/2012,Heli,,,,,
HE00292,HE002,NAD83,No,n_a,n_a,n_a,-112.895658,57.370125,GPS,point,69,TRUE,28/06/2012,Heli,,,,,
HE00409,HE004,NAD83,No,n_a,n_a,n_a,-112.484357,57.003825,GIS,point,98,TRUE,22/06/2012,Heli,,,,,
HE00411,HE004,NAD83,No,n_a,n_a,n_a,-112.457634,56.997522,GIS,point,98,TRUE,22/06/2012,Heli,,,,,
HE00412,HE004,NAD83,No,n_a,n_a,n_a,-112.435642,57.058814,GIS,point,65,TRUE,22/06/2012,Heli,,,,,
HE00416,HE004,NAD83,No,n_a,n_a,n_a,-112.403183,57.048438,GIS,point,65,TRUE,22/06/2012,Heli,,,,,
HE00427,HE004,NAD83,No,n_a,n_a,n_a,-112.486787,57.055109,GIS,point,69,TRUE,22/06/2012,Heli,,,,,
HE00428,HE004,NAD83,No,n_a,n_a,n_a,-112.485542,57.050815,GIS,point,69,TRUE,22/06/2012,Heli,,,,,
HE00429,HE004,NAD83,No,n_a,n_a,n_a,-112.435543,57.051857,GIS,point,65,TRUE,22/06/2012,Heli,,,,,
HE00430,HE004,NAD83,No,n_a,n_a,n_a,-112.423002,57.053313,GIS,point,65,TRUE,22/06/2012,Heli,,,,,
HE00431,HE004,NAD83,No,n_a,n_a,n_a,-112.428371,57.058989,GIS,point,65,TRUE,22/06/2012,Heli,,,,,
HE00441,HE004,NAD83,No,n_a,n_a,n_a,-112.459581,57.006675,GIS,point,98,TRUE,22/06/2012,Heli,,,,,
HE00442,HE004,NAD83,No,n_a,n_a,n_a,-112.45987,57.010106,GIS,point,98,TRUE,22/06/2012,Heli,,,,,
HE00443,HE004,NAD83,No,n_a,n_a,n_a,-112.415033,57.04801,GIS,point,65,TRUE,22/06/2012,Heli,,,,,
HE00447,HE004,NAD83,No,n_a,n_a,n_a,-112.443102,57.056199,GIS,point,65,TRUE,22/06/2012,Heli,,,,,
HE00449,HE004,NAD83,No,n_a,n_a,n_a,-112.470705,57.013792,GIS,point,98,TRUE,22/06/2012,Heli,,,,,
HE00471,HE004,NAD83,No,n_a,n_a,n_a,-112.463408,57.002537,GPS,point,98,TRUE,22/06/2012,Heli,,,,,
HE00472,HE004,NAD83,No,n_a,n_a,n_a,-112.478398,57.000142,GPS,point,98,TRUE,22/06/2012,Heli,,,,,
HE00473,HE004,NAD83,No,n_a,n_a,n_a,-112.478615,57.011939,GPS,point,98,TRUE,22/06/2012,Heli,,,,,
HE00491,HE004,NAD83,No,n_a,n_a,n_a,-112.492199,57.054544,GPS,point,69,TRUE,22/06/2012,Heli,,,,,
HE00492,HE004,NAD83,No,n_a,n_a,n_a,-112.481703,57.053614,GPS,point,69,TRUE,22/06/2012,Heli,,,,,
HE00493,HE004,NAD83,No,n_a,n_a,n_a,-112.477178,57.052493,GPS,point,69,TRUE,22/06/2012,Heli,,,,,
HE00494,HE004,NAD83,No,n_a,n_a,n_a,-112.473901,57.047335,GPS,point,69,TRUE,22/06/2012,Heli,,,,,
HE00511,HE005,NAD83,No,n_a,n_a,n_a,-112.10938,57.012012,GIS,point,98,TRUE,13/06/2012,Heli,,,,,
HE00522,HE005,NAD83,No,n_a,n_a,n_a,-112.125757,57.032643,GIS,point,69,TRUE,13/06/2012,Heli,,,,,
HE00525,HE005,NAD83,No,n_a,n_a,n_a,-112.085045,57.016007,GIS,point,69,TRUE,13/06/2012,Heli,,,,,
HE00526,HE005,NAD83,No,n_a,n_a,n_a,-112.200632,56.982981,GIS,point,69,TRUE,14/06/2012,Heli,,,,,
HE00527,HE005,NAD83,No,n_a,n_a,n_a,-112.119217,57.0357,GIS,point,98,TRUE,13/06/2012,Heli,,,,,
HE00528,HE005,NAD83,No,n_a,n_a,n_a,-112.134068,57.035239,GIS,point,98,TRUE,13/06/2012,Heli,,,,,
HE00531,HE005,NAD83,No,n_a,n_a,n_a,-112.155353,56.995967,GIS,point,98,TRUE,14/06/2012,Heli,,,,,
HE00533,HE005,NAD83,No,n_a,n_a,n_a,-112.171922,56.996745,GIS,point,98,TRUE,14/06/2012,Heli,,,,,
HE00534,HE005,NAD83,No,n_a,n_a,n_a,-112.165591,56.997458,GIS,point,98,TRUE,14/06/2012,Heli,,,,,
HE00537,HE005,NAD83,No,n_a,n_a,n_a,-112.195282,56.979954,GIS,point,69,TRUE,14/06/2012,Heli,,,,,
HE00571,HE005,NAD83,No,n_a,n_a,n_a,-112.124622,57.03702,GPS,point,98,TRUE,13/06/2012,Heli,,,,,
HE00572,HE005,NAD83,No,n_a,n_a,n_a,-112.151959,56.993163,GPS,point,98,TRUE,14/06/2012,Heli,,,,,
HE00573,HE005,NAD83,No,n_a,n_a,n_a,-112.163315,56.990049,GPS,point,98,TRUE,14/06/2012,Heli,,,,,
HE00574,HE005,NAD83,No,n_a,n_a,n_a,-112.168519,56.987343,GPS,point,98,TRUE,14/06/2012,Heli,,,,,
HE00575,HE005,NAD83,No,n_a,n_a,n_a,-112.103093,57.011817,GPS,point,98,TRUE,13/06/2012,Heli,,,,,
HE00576,HE005,NAD83,No,n_a,n_a,n_a,-112.115496,57.015267,GPS,point,98,TRUE,13/06/2012,Heli,,,,,
HE00591,HE005,NAD83,No,n_a,n_a,n_a,-112.20105,56.985703,GPS,point,69,TRUE,14/06/2012,Heli,,,,,
HE00592,HE005,NAD83,No,n_a,n_a,n_a,-112.125278,57.03038,GPS,point,69,TRUE,13/06/2012,Heli,,,,,
HE00593,HE005,NAD83,No,n_a,n_a,n_a,-112.085254,57.011485,GPS,point,69,TRUE,13/06/2012,Heli,,,,,
HE00594,HE005,NAD83,No,n_a,n_a,n_a,-112.18801,56.980762,GPS,point,69,TRUE,14/06/2012,Heli,,,,,
HE00595,HE005,NAD83,No,n_a,n_a,n_a,-112.092218,57.013484,GPS,point,69,TRUE,13/06/2012,Heli,,,,,
HE00812,HE008,NAD83,No,n_a,n_a,n_a,-113.167045,56.866919,GIS,point,65,TRUE,23/06/2012,Heli,,,,,
HE00827,HE008,NAD83,No,n_a,n_a,n_a,-113.174271,56.854823,GIS,point,65,TRUE,23/06/2012,Heli,,,,,
HE00831,HE008,NAD83,No,n_a,n_a,n_a,-113.138643,56.856545,GIS,point,98,TRUE,23/06/2012,Heli,,,,,
HE00832,HE008,NAD83,No,n_a,n_a,n_a,-113.167353,56.850912,GIS,point,65,TRUE,23/06/2012,Heli,,,,,
HE00840,HE008,NAD83,No,n_a,n_a,n_a,-113.145921,56.862011,GIS,point,98,TRUE,23/06/2012,Heli,,,,,
HE00841,HE008,NAD83,No,n_a,n_a,n_a,-113.119272,56.856113,GIS,point,98,TRUE,23/06/2012,Heli,,,,,
HE00842,HE008,NAD83,No,n_a,n_a,n_a,-113.118643,56.850851,GIS,point,98,TRUE,23/06/2012,Heli,,,,,
HE00843,HE008,NAD83,No,n_a,n_a,n_a,-113.157522,56.852994,GIS,point,65,TRUE,23/06/2012,Heli,,,,,
HE00871,HE008,NAD83,No,n_a,n_a,n_a,-113.140395,56.859186,GPS,point,98,TRUE,23/06/2012,Heli,,,,,
HE00872,HE008,NAD83,No,n_a,n_a,n_a,-113.117883,56.863074,GPS,point,98,TRUE,23/06/2012,Heli,,,,,
HE00873,HE008,NAD83,No,n_a,n_a,n_a,-113.124397,56.864071,GPS,point,98,TRUE,23/06/2012,Heli,,,,,
HE00874,HE008,NAD83,No,n_a,n_a,n_a,-113.136307,56.856334,GPS,point,98,TRUE,23/06/2012,Heli,,,,,
HE00881,HE008,NAD83,No,n_a,n_a,n_a,-113.174712,56.86212,GPS,point,65,TRUE,23/06/2012,Heli,,,,,
HE00882,HE008,NAD83,No,n_a,n_a,n_a,-113.167532,56.861295,GPS,point,65,TRUE,23/06/2012,Heli,,,,,
HE00883,HE008,NAD83,No,n_a,n_a,n_a,-113.174013,56.849525,GPS,point,65,TRUE,23/06/2012,Heli,,,,,
HE01004,HE010,NAD83,No,n_a,n_a,n_a,-110.310828,56.900386,GIS,point,69,TRUE,25/06/2012,Heli,,,,,
HE01006,HE010,NAD83,No,n_a,n_a,n_a,-110.302863,56.876187,GIS,point,98,TRUE,25/06/2012,Heli,,,,,
HE01009,HE010,NAD83,No,n_a,n_a,n_a,-110.330169,56.883885,GIS,point,98,TRUE,25/06/2012,Heli,,,,,
HE01012,HE010,NAD83,No,n_a,n_a,n_a,-110.310176,56.87587,GIS,point,98,TRUE,25/06/2012,Heli,,,,,
HE01021,HE010,NAD83,No,n_a,n_a,n_a,-110.356685,56.895321,GIS,point,65,TRUE,25/06/2012,Heli,,,,,
HE01023,HE010,NAD83,No,n_a,n_a,n_a,-110.313122,56.879449,GIS,point,98,TRUE,25/06/2012,Heli,,,,,
HE01024,HE010,NAD83,No,n_a,n_a,n_a,-110.357875,56.892043,GIS,point,65,TRUE,25/06/2012,Heli,,,,,
HE01025,HE010,NAD83,No,n_a,n_a,n_a,-110.324689,56.886893,GIS,point,98,TRUE,25/06/2012,Heli,,,,,
HE01026,HE010,NAD83,No,n_a,n_a,n_a,-110.322742,56.8838,GIS,point,98,TRUE,25/06/2012,Heli,,,,,
HE01029,HE010,NAD83,No,n_a,n_a,n_a,-110.380582,56.886061,GIS,point,65,TRUE,25/06/2012,Heli,,,,,
HE01030,HE010,NAD83,No,n_a,n_a,n_a,-110.369785,56.889599,GIS,point,65,TRUE,25/06/2012,Heli,,,,,
HE01037,HE010,NAD83,No,n_a,n_a,n_a,-110.310535,56.892425,GIS,point,69,TRUE,25/06/2012,Heli,,,,,
