CO20302W-140530-008,CO20302W,CO20302W-1,30/05/2014,9:22:00 AM,n_a,1,87,OVEN,1,4,1,S,,,A,M,,,,,
CO20303G-140530-001,CO20303G,CO20303G-1,30/05/2014,6:45:00 AM,n_a,1,26,HETH,1,1,3,S,,,A,M,,,,,
CO20303G-140530-002,CO20303G,CO20303G-1,30/05/2014,6:45:00 AM,n_a,1,26,RCKI,1,1,1,S,,,A,M,,,,,
CO20303G-140530-003,CO20303G,CO20303G-1,30/05/2014,6:45:00 AM,n_a,1,26,SWTH,1,2,2,C,,,A,M,FT,,,,FLEW FROM QUADRANT 2 THROUGH TO QUADRANT 4
CO20303G-140530-004,CO20303G,CO20303G-1,30/05/2014,6:45:00 AM,n_a,1,26,WISN,5,3,3,S,,,A,M,,,,,
CO20303G-140530-005,CO20303G,CO20303G-1,30/05/2014,6:45:00 AM,n_a,1,26,RCKI,1,4,3,S,,,A,M,,,,,
CO20303G-140530-006,CO20303G,CO20303G-1,30/05/2014,6:45:00 AM,n_a,1,26,YRWA,1,4,1,S,,,A,M,,,,,
CO20303G-140530-007,CO20303G,CO20303G-1,30/05/2014,6:45:00 AM,n_a,1,26,UNSP,1,4,1,C,,,A,U,FT,,,,FLEW FROM QUADRANT 4 THROUGH TO QUADRANT 2
CO20303N-140530-001,CO20303N,CO20303N-1,30/05/2014,6:21:00 AM,n_a,1,87,OVEN,1,1,2,S,,,A,M,CS,,,,
CO20303N-140530-002,CO20303N,CO20303N-1,30/05/2014,6:21:00 AM,n_a,1,87,COYE,3,1,2,S,,,A,M,,,,,
CO20303N-140530-003,CO20303N,CO20303N-1,30/05/2014,6:21:00 AM,n_a,1,87,TEWA,1,1,2,S,,,A,M,,,,,
CO20303N-140530-004,CO20303N,CO20303N-1,30/05/2014,6:21:00 AM,n_a,1,87,WIWR,3,2,2,S,,,A,M,,,,,
CO20303N-140530-005,CO20303N,CO20303N-1,30/05/2014,6:21:00 AM,n_a,1,87,MAWA,1,2,2,S,,,A,M,CS,,,,
CO20303N-140530-006,CO20303N,CO20303N-1,30/05/2014,6:21:00 AM,n_a,1,87,OVEN,1,2,2,S,,,A,M,CS,,,,
CO20303N-140530-007,CO20303N,CO20303N-1,30/05/2014,6:21:00 AM,n_a,1,87,RBNU,1,2,1,C,,,A,U,,,,,
CO20303N-140530-008,CO20303N,CO20303N-1,30/05/2014,6:21:00 AM,n_a,1,87,CEDW,1,2,1,C,,,A,U,,,,,
CO20303N-140530-009,CO20303N,CO20303N-1,30/05/2014,6:21:00 AM,n_a,1,87,COYE,1,2,1,S,,,A,M,,,,,
CO20303N-140530-010,CO20303N,CO20303N-1,30/05/2014,6:21:00 AM,n_a,1,87,OVEN,1,3,2,S,,,A,M,CS,,,,
CO20303N-140530-011,CO20303N,CO20303N-1,30/05/2014,6:21:00 AM,n_a,1,87,UNKN,1,3,1,C,,,A,U,,,,,
CO20303N-140530-012,CO20303N,CO20303N-1,30/05/2014,6:21:00 AM,n_a,1,87,MAWA,1,3,1,S,,,A,M,CS,,,,
CO20303N-140530-013,CO20303N,CO20303N-1,30/05/2014,6:21:00 AM,n_a,1,87,TEWA,5,3,1,S,,,A,M,,,,,
CO20303N-140530-014,CO20303N,CO20303N-1,30/05/2014,6:21:00 AM,n_a,1,87,WTSP,1,4,2,S,,,A,M,,,,,
CO20303N-140530-015,CO20303N,CO20303N-1,30/05/2014,6:21:00 AM,n_a,1,87,NOFL,5,4,2,C,,,A,U,,,,,
CO20303W-140530-001,CO20303W,CO20303W-1,30/05/2014,7:54:00 AM,n_a,1,87,RCKI,1,1,1,S,,,A,M,,,,,
CO20303W-140530-002,CO20303W,CO20303W-1,30/05/2014,7:54:00 AM,n_a,1,87,PHVI,5,1,1,S,,,A,M,,,,,
CO20303W-140530-003,CO20303W,CO20303W-1,30/05/2014,7:54:00 AM,n_a,1,87,TEWA,1,1,1,S,,,A,M,CS,,,,
CO20303W-140530-004,CO20303W,CO20303W-1,30/05/2014,7:54:00 AM,n_a,1,87,BBWA,5,1,1,S,,,A,M,,,,,
CO20303W-140530-005,CO20303W,CO20303W-1,30/05/2014,7:54:00 AM,n_a,1,87,WIWR,1,1,1,S,,,A,M,,,,,
CO20303W-140530-006,CO20303W,CO20303W-1,30/05/2014,7:54:00 AM,n_a,1,87,RCKI,5,1,2,S,,,A,M,,,,,
CO20303W-140530-007,CO20303W,CO20303W-1,30/05/2014,7:54:00 AM,n_a,1,87,NOFL,3,2,2,C,,,A,U,,,,,
CO20303W-140530-008,CO20303W,CO20303W-1,30/05/2014,7:54:00 AM,n_a,1,87,BBWA,5,2,1,C,S,,A,M,,,,,
CO20303W-140530-009,CO20303W,CO20303W-1,30/05/2014,7:54:00 AM,n_a,1,87,LEFL,5,2,1,C,S,,A,M,CS,,,,*Recorded as YBFL; changed based on habitat.
CO20303W-140530-010,CO20303W,CO20303W-1,30/05/2014,7:54:00 AM,n_a,1,87,OVEN,3,3,2,S,,,A,M,CS,,,,
CO20303W-140530-011,CO20303W,CO20303W-1,30/05/2014,7:54:00 AM,n_a,1,87,WBNU,,3,1,V,,,A,U,,,,,Forgot to enter Time Code
CO20303W-140530-012,CO20303W,CO20303W-1,30/05/2014,7:54:00 AM,n_a,1,87,DOWO,3,3,1,C,,,A,U,,,,,
CO20303W-140530-013,CO20303W,CO20303W-1,30/05/2014,7:54:00 AM,n_a,1,87,TEWA,1,4,2,S,,,A,M,CS,,,,
CO20303W-140530-014,CO20303W,CO20303W-1,30/05/2014,7:54:00 AM,n_a,1,87,OVEN,1,4,2,S,,,A,M,CS,,,,
CO20303W-140530-015,CO20303W,CO20303W-1,30/05/2014,7:54:00 AM,n_a,1,87,MAWA,1,4,1,S,,,A,M,,,,,
CO20303W-140530-016,CO20303W,CO20303W-1,30/05/2014,7:54:00 AM,n_a,1,87,LEFL,1,4,1,S,,,A,M,CS,,,,*Recorded as YBFL; changed based on habitat.
CO20303W-140530-017,CO20303W,CO20303W-1,30/05/2014,7:54:00 AM,n_a,1,87,BTNW,1,4,1,S,,,A,M,,,,,
CO20303W-140530-018,CO20303W,CO20303W-1,30/05/2014,7:54:00 AM,n_a,1,87,DOWO,1,4,1,V,C,,A,F,,,,,
CO20303W-140530-019,CO20303W,CO20303W-1,30/05/2014,7:54:00 AM,n_a,1,87,PHVI,3,4,1,C,S,,A,M,,,,,
CO20304G-140530-001,CO20304G,CO20304G-1,30/05/2014,7:22:00 AM,n_a,1,26,DEJU,1,2,2,S,,,A,M,,,,,
CO20304G-140530-002,CO20304G,CO20304G-1,30/05/2014,7:22:00 AM,n_a,1,26,WTSP,1,2,2,S,,,A,M,,,,,
CO20304G-140530-003,CO20304G,CO20304G-1,30/05/2014,7:22:00 AM,n_a,1,26,RCKI,3,3,3,S,,,A,M,,,,,
CO20304G-140530-004,CO20304G,CO20304G-1,30/05/2014,7:22:00 AM,n_a,1,26,YRWA,5,3,1,S,,,A,M,,,,,
CO20304G-140530-005,CO20304G,CO20304G-1,30/05/2014,7:22:00 AM,n_a,1,26,RCKI,1,4,2,S,,,A,M,,,,,
CO20304G-140530-006,CO20304G,CO20304G-1,30/05/2014,7:22:00 AM,n_a,1,26,YRWA,5,4,1,S,,,A,M,,,,,
CO20304G-140530-007,CO20304G,CO20304G-1,30/05/2014,7:22:00 AM,n_a,1,26,UNSP,3,4,1,C,,,A,M,,,,,
CO20305G-140530-001,CO20305G,CO20305G-1,30/05/2014,8:24:00 AM,n_a,1,26,RCKI,5,2,3,S,,,A,M,CS,,,,
CO20305G-140530-002,CO20305G,CO20305G-1,30/05/2014,8:24:00 AM,n_a,1,26,YRWA,1,2,1,S,,,A,M,,,,,
CO20305G-140530-003,CO20305G,CO20305G-1,30/05/2014,8:24:00 AM,n_a,1,26,UNTH,1,4,3,S,,,A,M,,,,,
CO20305G-140530-004,CO20305G,CO20305G-1,30/05/2014,8:24:00 AM,n_a,1,26,RCKI,5,4,2,S,,,A,M,,,,,
CO20305G-140530-005,CO20305G,CO20305G-1,30/05/2014,8:24:00 AM,n_a,1,26,NOFL,1,4,2,C,,,A,U,,,,,
CO20305G-140530-006,CO20305G,CO20305G-1,30/05/2014,8:24:00 AM,n_a,1,26,RCKI,1,4,1,S,,,A,M,CS,,,,
CO20306G-140530-001,CO20306G,CO20306G-1,30/05/2014,10:03:00 AM,n_a,1,26,DEJU,5,1,1,S,,,A,M,,,,,
CO20306G-140530-002,CO20306G,CO20306G-1,30/05/2014,10:03:00 AM,n_a,1,26,DEJU,5,1,1,S,,,A,M,,,,,
CO20306G-140530-003,CO20306G,CO20306G-1,30/05/2014,10:03:00 AM,n_a,1,26,YRWA,5,2,1,S,,,A,M,,,,,
CO20306G-140530-004,CO20306G,CO20306G-1,30/05/2014,10:03:00 AM,n_a,1,26,RCKI,1,4,1,S,,,A,M,,,,,
CO20306G-140530-005,CO20306G,CO20306G-1,30/05/2014,10:03:00 AM,n_a,1,26,YRWA,1,4,1,S,,,A,M,,,,,
CO20306G-140530-006,CO20306G,CO20306G-1,30/05/2014,10:03:00 AM,n_a,1,26,DEJU,5,4,1,C,,,A,U,,,,,
CO20307G-140530-001,CO20307G,CO20307G-1,30/05/2014,9:25:00 AM,n_a,1,26,LISP,5,2,3,S,,,A,M,,,,,
CO20307G-140530-002,CO20307G,CO20307G-1,30/05/2014,9:25:00 AM,n_a,1,26,RCKI,1,2,2,S,,,A,M,,,,,
CO20307G-140530-003,CO20307G,CO20307G-1,30/05/2014,9:25:00 AM,n_a,1,26,YRWA,1,2,1,S,,,A,M,,,,,
CO20307G-140530-004,CO20307G,CO20307G-1,30/05/2014,9:25:00 AM,n_a,1,26,YRWA,5,3,1,S,,,A,M,,,,,
CO20307G-140530-005,CO20307G,CO20307G-1,30/05/2014,9:25:00 AM,n_a,1,26,UNSP,5,3,1,C,,,A,U,,,,,
CO20307G-140530-006,CO20307G,CO20307G-1,30/05/2014,9:25:00 AM,n_a,1,26,UNSP,5,3,1,C,,,A,U,,,,,
CO20307G-140530-007,CO20307G,CO20307G-1,30/05/2014,9:25:00 AM,n_a,1,26,SWSP,1,4,2,S,,,A,M,,,,,
CO20307G-140530-008,CO20307G,CO20307G-1,30/05/2014,9:25:00 AM,n_a,1,26,RCKI,1,4,1,S,,,A,M,,,,,
CO20307G-140530-009,CO20307G,CO20307G-1,30/05/2014,9:25:00 AM,n_a,1,26,SWSP,1,4,1,S,,,A,M,,,,,
CO20308G-140530-001,CO20308G,CO20308G-1,30/05/2014,8:56:00 AM,n_a,1,26,YRWA,3,1,1,S,,,A,M,,,,,
CO20308G-140530-002,CO20308G,CO20308G-1,30/05/2014,8:56:00 AM,n_a,1,26,RCKI,1,1,1,S,,,A,M,,,,,
CO20308G-140530-003,CO20308G,CO20308G-1,30/05/2014,8:56:00 AM,n_a,1,26,UNSP,3,1,1,S,,,A,M,,,,,~ 4:30 ON RECORDING
CO20308G-140530-004,CO20308G,CO20308G-1,30/05/2014,8:56:00 AM,n_a,1,26,HETH,1,3,2,S,,,A,M,,,,,
CO20308G-140530-005,CO20308G,CO20308G-1,30/05/2014,8:56:00 AM,n_a,1,26,RCKI,1,3,1,S,,,A,M,,,,,
CO20308G-140530-006,CO20308G,CO20308G-1,30/05/2014,8:56:00 AM,n_a,1,26,RCKI,1,4,3,S,,,A,M,,,,,
CO20308G-140530-007,CO20308G,CO20308G-1,30/05/2014,8:56:00 AM,n_a,1,26,GRAJ,3,4,1,C,,,U,U,,,,,
CO20308G-140530-008,CO20308G,CO20308G-1,30/05/2014,8:56:00 AM,n_a,1,26,YRWA,1,4,1,C,V,,A,F,FE,,,,
CO20308G-140530-009,CO20308G,CO20308G-1,30/05/2014,8:56:00 AM,n_a,1,26,SWSP,1,4,1,S,,,A,M,,,,,
CO20309G-140530-001,CO20309G,CO20309G-1,30/05/2014,7:50:00 AM,n_a,1,26,UNKN,3,3,1,S,,,A,U,,,,,~4:50 ON RECORDING
CO20309G-140530-002,CO20309G,CO20309G-1,30/05/2014,7:50:00 AM,n_a,1,26,CANG,5,4,3,C,,,A,U,,,,,
CO20309G-140530-003,CO20309G,CO20309G-1,30/05/2014,7:50:00 AM,n_a,1,26,CANG,5,4,3,C,,,A,U,,,,,
CO20309G-140530-004,CO20309G,CO20309G-1,30/05/2014,7:50:00 AM,n_a,1,26,CANG,,4,3,C,V,,A,U,FO,FL,,,FORGOT TO RECORD TIME INTERVAL
CO20309G-140530-005,CO20309G,CO20309G-1,30/05/2014,7:50:00 AM,n_a,1,26,CANG,,4,3,C,V,,A,U,FO,FL,,,FORGOT TO RECORD TIME INTERVAL
CO20309G-140530-006,CO20309G,CO20309G-1,30/05/2014,7:50:00 AM,n_a,1,26,CANG,,4,3,C,V,,A,U,FO,FL,,,FORGOT TO RECORD TIME INTERVAL
CO20309G-140530-007,CO20309G,CO20309G-1,30/05/2014,7:50:00 AM,n_a,1,26,CANG,,4,3,C,V,,A,U,FO,FL,,,FORGOT TO RECORD TIME INTERVAL
CO20309G-140530-008,CO20309G,CO20309G-1,30/05/2014,7:50:00 AM,n_a,1,26,CANG,,4,3,C,V,,A,U,FO,FL,,,FORGOT TO RECORD TIME INTERVAL
CO20309G-140530-009,CO20309G,CO20309G-1,30/05/2014,7:50:00 AM,n_a,1,26,CANG,,4,3,C,V,,A,U,FO,FL,,,FORGOT TO RECORD TIME INTERVAL
CO20309G-140530-010,CO20309G,CO20309G-1,30/05/2014,7:50:00 AM,n_a,1,26,CANG,,4,3,C,V,,A,U,FO,FL,,,FORGOT TO RECORD TIME INTERVAL
CO20309G-140530-011,CO20309G,CO20309G-1,30/05/2014,7:50:00 AM,n_a,1,26,CANG,,4,3,C,V,,A,U,FO,FL,,,FORGOT TO RECORD TIME INTERVAL
CO20309G-140530-012,CO20309G,CO20309G-1,30/05/2014,7:50:00 AM,n_a,1,26,CANG,,4,3,C,V,,A,U,FO,FL,,,FORGOT TO RECORD TIME INTERVAL
CO20309G-140530-013,CO20309G,CO20309G-1,30/05/2014,7:50:00 AM,n_a,1,26,CANG,,4,3,C,V,,A,U,FO,FL,,,FORGOT TO RECORD TIME INTERVAL
CO20309G-140530-014,CO20309G,CO20309G-1,30/05/2014,7:50:00 AM,n_a,1,26,CANG,,4,3,C,V,,A,U,FO,FL,,,FORGOT TO RECORD TIME INTERVAL
CO20309G-140530-015,CO20309G,CO20309G-1,30/05/2014,7:50:00 AM,n_a,1,26,CANG,,4,3,C,V,,A,U,FO,FL,,,FORGOT TO RECORD TIME INTERVAL
CO20309G-140530-016,CO20309G,CO20309G-1,30/05/2014,7:50:00 AM,n_a,1,26,CANG,,4,3,C,V,,A,U,FO,FL,,,FORGOT TO RECORD TIME INTERVAL
CO20309G-140530-017,CO20309G,CO20309G-1,30/05/2014,7:50:00 AM,n_a,1,26,CANG,,4,3,C,V,,A,U,FO,FL,,,FORGOT TO RECORD TIME INTERVAL
CO20309G-140530-018,CO20309G,CO20309G-1,30/05/2014,7:50:00 AM,n_a,1,26,CANG,,4,3,C,V,,A,U,FO,FL,,,FORGOT TO RECORD TIME INTERVAL
CO20309G-140530-019,CO20309G,CO20309G-1,30/05/2014,7:50:00 AM,n_a,1,26,CANG,,4,3,C,V,,A,U,FO,FL,,,FORGOT TO RECORD TIME INTERVAL
CO20309G-140530-020,CO20309G,CO20309G-1,30/05/2014,7:50:00 AM,n_a,1,26,CANG,,4,3,C,V,,A,U,FO,FL,,,FORGOT TO RECORD TIME INTERVAL
CO20309G-140530-021,CO20309G,CO20309G-1,30/05/2014,7:50:00 AM,n_a,1,26,CANG,,4,3,C,V,,A,U,FO,FL,,,FORGOT TO RECORD TIME INTERVAL
CO20309G-140530-022,CO20309G,CO20309G-1,30/05/2014,7:50:00 AM,n_a,1,26,CANG,,4,3,C,V,,A,U,FO,FL,,,FORGOT TO RECORD TIME INTERVAL
CO20309G-140530-023,CO20309G,CO20309G-1,30/05/2014,7:50:00 AM,n_a,1,26,CANG,,4,3,C,V,,A,U,FO,FL,,,FORGOT TO RECORD TIME INTERVAL
CO20309G-140530-024,CO20309G,CO20309G-1,30/05/2014,7:50:00 AM,n_a,1,26,CANG,,4,3,C,V,,A,U,FO,FL,,,FORGOT TO RECORD TIME INTERVAL
CO20309G-140530-025,CO20309G,CO20309G-1,30/05/2014,7:50:00 AM,n_a,1,26,CANG,,4,3,C,V,,A,U,FO,FL,,,FORGOT TO RECORD TIME INTERVAL
CO20309G-140530-026,CO20309G,CO20309G-1,30/05/2014,7:50:00 AM,n_a,1,26,CANG,,4,3,C,V,,A,U,FO,FL,,,FORGOT TO RECORD TIME INTERVAL
CO20309G-140530-027,CO20309G,CO20309G-1,30/05/2014,7:50:00 AM,n_a,1,26,CANG,,4,3,C,V,,A,U,FO,FL,,,FORGOT TO RECORD TIME INTERVAL
CO20309G-140530-028,CO20309G,CO20309G-1,30/05/2014,7:50:00 AM,n_a,1,26,RCKI,1,4,2,S,,,A,M,CS,,,,
CO20309G-140530-029,CO20309G,CO20309G-1,30/05/2014,7:50:00 AM,n_a,1,26,RCKI,1,4,2,S,,,A,M,CS,,,,
CO20309G-140530-030,CO20309G,CO20309G-1,30/05/2014,7:50:00 AM,n_a,1,26,SWSP,5,4,2,S,,,A,M,,,,,
CO20309G-140530-031,CO20309G,CO20309G-1,30/05/2014,7:50:00 AM,n_a,1,26,GRAJ,1,4,1,C,,,U,U,,,,,
CO20309G-140530-032,CO20309G,CO20309G-1,30/05/2014,7:50:00 AM,n_a,1,26,GRAJ,1,4,1,C,,,U,U,,,,,
CO20309G-140530-033,CO20309G,CO20309G-1,30/05/2014,7:50:00 AM,n_a,1,26,BOCH,3,4,1,C,,,A,U,,,,,
CO20309G-140530-034,CO20309G,CO20309G-1,30/05/2014,7:50:00 AM,n_a,1,26,UNKN,5,4,1,S,,,U,U,,,,,SAME SPECIES AS OTHER UNKN
CO20309G-140530-035,CO20309G,CO20309G-1,30/05/2014,7:50:00 AM,n_a,1,26,UNSP,1,4,1,C,,,A,U,,,,,
CO20401G-140527-001,CO20401G,CO20401G-1,27/05/2014,9:33:00 AM,n_a,1,87,BLBW,5,3,1,S,,,A,M,,,,,
CO20401G-140527-002,CO20401G,CO20401G-1,27/05/2014,9:33:00 AM,n_a,1,87,NOFL,3,4,1,C,,,A,U,,,,,
CO20401G-140527-003,CO20401G,CO20401G-1,27/05/2014,9:33:00 AM,n_a,1,87,SWTH,1,4,1,S,,,A,M,CS,,,,
CO20401G-140527-004,CO20401G,CO20401G-1,27/05/2014,9:33:00 AM,n_a,1,87,CHSP,1,4,2,S,,,A,M,,,,,
CO20401G-140527-005,CO20401G,CO20401G-1,27/05/2014,9:33:00 AM,n_a,1,87,EVGR,3,4,2,C,,,A,U,,,,,
CO20401G-140527-006,CO20401G,CO20401G-1,27/05/2014,9:33:00 AM,n_a,1,87,CORA,5,4,3,C,,,A,U,,,,Counter called CORA in NE.,
CO20401G-140527-007,CO20401G,CO20401G-1,27/05/2014,9:33:00 AM,n_a,1,87,CORA,5,1,3,C,,,A,U,,,,Counter called CORA in NW.,
CO20401G-140527-008,CO20401G,CO20401G-1,27/05/2014,9:33:00 AM,n_a,1,87,AMCR,,1,3,V,C,,A,U,FO,,,Flew to NE. ,  I think was detected at time code 5.
CO20401G-140527-009,CO20401G,CO20401G-1,27/05/2014,9:33:00 AM,n_a,1,87,COYE,1,1,2,S,,,A,M,CS,,,,
CO20401G-140527-010,CO20401G,CO20401G-1,27/05/2014,9:33:00 AM,n_a,1,87,SWTH,1,1,2,S,,,A,M,CS,,,,
CO20401G-140527-011,CO20401G,CO20401G-1,27/05/2014,9:33:00 AM,n_a,1,87,AMCR,1,2,2,C,,,A,U,,,,,
CO20401G-140527-012,CO20401G,CO20401G-1,27/05/2014,9:33:00 AM,n_a,1,87,RESQ,,2,2,C,,,A,U,,,,,
CO20401G-140527-013,CO20401G,CO20401G-1,27/05/2014,9:33:00 AM,n_a,1,87,COYE,1,2,2,S,,,A,M,CS,,,,
CO20401G-140527-014,CO20401G,CO20401G-1,27/05/2014,9:33:00 AM,n_a,1,87,YRWA,5,2,2,S,,,A,M,,,, ,"*Recorded as ""UNKN, YRWA?"" on data sheet"
CO20401G-140527-015,CO20401G,CO20401G-1,27/05/2014,9:33:00 AM,n_a,1,87,UNKN,5,3,2,S,,,A,M,,,,,triller   * Too faint to hear on recording
CO20401G-140527-016,CO20401G,CO20401G-1,27/05/2014,9:33:00 AM,n_a,1,87,UNKN,,1,3,S,,,A,M,FO,,,Flew from NE to SW.  ,Did not record time code but suspected it was 5.
CO20401G-140527-017,CO20401G,CO20401G-1,27/05/2014,9:33:00 AM,n_a,1,87,COYE,3,3,2,S,,,A,M,,,,,This may be COYE #9 flown to West.
CO20402G-140527-001,CO20402G,CO20402G-1,41786,0.272222222,n_a,1,26,WTSP,1,4,3,S,,,A,M,,,,,
CO20402G-140527-002,CO20402G,CO20402G-1,41786,0.272222222,n_a,1,26,RESQ,1,4,2,C,,,U,U,,,,,
CO20402G-140527-003,CO20402G,CO20402G-1,41786,0.272222222,n_a,1,26,RBNU,1,4,2,S,,,A,U,,,,,
CO20402G-140527-004,CO20402G,CO20402G-1,41786,0.272222222,n_a,1,26,RBNU,1,4,2,S,,,A,U,,,,,
CO20402G-140527-005,CO20402G,CO20402G-1,41786,0.272222222,n_a,1,26,SCJU,1,4,1,S,,,A,M,,,,,
CO20402G-140527-006,CO20402G,CO20402G-1,41786,0.272222222,n_a,1,26,UNSP,1,4,1,C,,,A,U,,,,,
CO20402G-140527-007,CO20402G,CO20402G-1,41786,0.272222222,n_a,1,26,OVEN,1,1,3,S,,,A,M,,,,,
CO20402G-140527-008,CO20402G,CO20402G-1,41786,0.272222222,n_a,1,26,UNSA,5,1,2,S,,,A,U,,,,,
CO20402G-140527-009,CO20402G,CO20402G-1,41786,0.272222222,n_a,1,26,WIWR,5,1,2,S,,,A,M,,,,,
CO20402G-140527-010,CO20402G,CO20402G-1,41786,0.272222222,n_a,1,26,COSN,3,1,2,C,,,A,U,,,,,
CO20402G-140527-011,CO20402G,CO20402G-1,41786,0.272222222,n_a,1,26,RESQ,5,2,1,C,,,A,U,,,,,
CO20403G-140527-001,CO20403G,CO20403G-1,41786,0.300694444,n_a,1,26,RBNU,1,1,3,S,,,A,U,,,,,
CO20403G-140527-002,CO20403G,CO20403G-1,41786,0.300694444,n_a,1,26,GRAJ,1,1,2,C,,,U,U,,,,,
CO20403G-140527-003,CO20403G,CO20403G-1,41786,0.300694444,n_a,1,26,UNKN,3,1,2,C,,,U,U,,,,,
CO20403G-140527-004,CO20403G,CO20403G-1,41786,0.300694444,n_a,1,26,MYWA,5,1,1,S,,,A,M,,,,,
CO20403G-140527-005,CO20403G,CO20403G-1,41786,0.300694444,n_a,1,26,WTSP,3,2,3,S,,,A,M,,,,,
CO20403G-140527-006,CO20403G,CO20403G-1,41786,0.300694444,n_a,1,26,OVEN,5,3,3,S,,,A,M,,,,,
CO20403G-140527-007,CO20403G,CO20403G-1,41786,0.300694444,n_a,1,26,RESQ,1,3,2,C,,,A,U,,,,,
CO20403G-140527-008,CO20403G,CO20403G-1,41786,0.300694444,n_a,1,26,RBNU,1,4,3,S,,,A,U,,,,,
CO20403G-140527-009,CO20403G,CO20403G-1,41786,0.300694444,n_a,1,26,HETH,1,4,2,S,,,A,U,,,,,
CO20403G-140527-010,CO20403G,CO20403G-1,41786,0.300694444,n_a,1,26,RCKI,1,4,2,S,,,A,M,CS,,,CS WITH BELOW,
CO20403G-140527-011,CO20403G,CO20403G-1,41786,0.300694444,n_a,1,26,RCKI,1,4,1,S,,,A,M,CS,,,CS WITH ABOVE,
CO20403G-140527-012,CO20403G,CO20403G-1,41786,0.300694444,n_a,1,26,UNSP,1,4,1,C,,,A,U,,,,,
CO20403G-140527-013,CO20403G,CO20403G-1,41786,0.300694444,n_a,1,26,BOCH,3,4,2,C,,,A,U,,,,,
CO20403N-140527-001,CO20403N,CO20403N-1,27/05/2014,8:28:00 AM,n_a,1,87,UNTH,3,4,2,C,,,U,U,,,,,
CO20403N-140527-002,CO20403N,CO20403N-1,27/05/2014,8:28:00 AM,n_a,1,87,RCKI,1,4,1,C,S,,A,M,,,,#2 and #3 may be a pair or 2 territorial males.,
CO20403N-140527-003,CO20403N,CO20403N-1,27/05/2014,8:28:00 AM,n_a,1,87,RCKI,1,4,1,C,,,A,U,,,,#2 and #3 may be a pair or 2 territorial males.,
CO20403N-140527-004,CO20403N,CO20403N-1,27/05/2014,8:28:00 AM,n_a,1,87,BHVI,1,4,1,S,,,A,M,,,,"Likely flew to SW, distance 2 of its quadrant.","*Recorded as PHVI on datasheet; habitat is also wrong, not deciduous."
CO20403N-140527-005,CO20403N,CO20403N-1,27/05/2014,8:28:00 AM,n_a,1,87,BAWW,5,4,1,S,,,A,M,,,,,
CO20403N-140527-006,CO20403N,CO20403N-1,27/05/2014,8:28:00 AM,n_a,1,87,UNKN,5,4,3,C,,,U,U,,,,,Possible GRAJ call?
CO20403N-140527-007,CO20403N,CO20403N-1,27/05/2014,8:28:00 AM,n_a,1,87,UNKN,5,4,3,S,,,A,M,,,,,CHSP?
CO20403N-140527-008,CO20403N,CO20403N-1,27/05/2014,8:28:00 AM,n_a,1,87,BHVI,5,1,1,C,,,U,U,,,,,Calls while bird #4 sings* Recorded as UNKN.
CO20403N-140527-009,CO20403N,CO20403N-1,27/05/2014,8:28:00 AM,n_a,1,87,RBNU,1,1,3,C,,,A,U,,,,,
CO20403N-140527-010,CO20403N,CO20403N-1,27/05/2014,8:28:00 AM,n_a,1,87,AMRO,1,1,3,C,,,A,U,,,,,
CO20403N-140527-011,CO20403N,CO20403N-1,27/05/2014,8:28:00 AM,n_a,1,87,SWTH,5,1,3,S,,,A,M,,,,,
CO20403N-140527-012,CO20403N,CO20403N-1,27/05/2014,8:28:00 AM,n_a,1,87,BTNW,5,1,3,S,,,A,M,,,,,
CO20403N-140527-013,CO20403N,CO20403N-1,27/05/2014,8:28:00 AM,n_a,1,87,RESQ,,1,3,C,,,A,U,,,,,Forgot to record time code.
CO20403N-140527-014,CO20403N,CO20403N-1,27/05/2014,8:28:00 AM,n_a,1,87,RESQ,3,3,1,C,,,A,U,,,,,
CO20403N-140527-015,CO20403N,CO20403N-1,27/05/2014,8:28:00 AM,n_a,1,87,RESQ,3,3,1,C,,,A,U,,,,,
CO20403W-140527-001,CO20403W,CO20403W-1,27/05/2014,7:24:00 AM,n_a,1,87,YRWA,5,1,2,S,,,A,M,,,,,
CO20403W-140527-002,CO20403W,CO20403W-1,27/05/2014,7:24:00 AM,n_a,1,87,SWTH,3,1,2,S,,,A,M,CS,,,,
CO20403W-140527-003,CO20403W,CO20403W-1,27/05/2014,7:24:00 AM,n_a,1,87,RCKI,3,1,3,S,C,,A,M,CS,,,"This may be two birds, a pair?",
CO20403W-140527-004,CO20403W,CO20403W-1,27/05/2014,7:24:00 AM,n_a,1,87,WTSP,1,1,3,S,,,A,M,CS,,,,
CO20403W-140527-005,CO20403W,CO20403W-1,27/05/2014,7:24:00 AM,n_a,1,87,UNKN,1,2,3,C,,,A,U,,,,RCKI? Counter calling.,
CO20403W-140527-006,CO20403W,CO20403W-1,27/05/2014,7:24:00 AM,n_a,1,87,AMRO,1,2,3,C,S,,A,M,CS,,,,
CO20403W-140527-007,CO20403W,CO20403W-1,27/05/2014,7:24:00 AM,n_a,1,87,SWTH,1,2,3,S,,,A,M,CS,,,,
CO20403W-140527-008,CO20403W,CO20403W-1,27/05/2014,7:24:00 AM,n_a,1,87,WTSP,5,2,3,S,,,A,M,CS,,,,
CO20403W-140527-009,CO20403W,CO20403W-1,27/05/2014,7:24:00 AM,n_a,1,87,YRWA,5,3,2,S,,,A,M,,,,,
