6/26/2014,CO21108G,CO21108G-1,32,6:10:00 AM,n_a,1,0,0,12.1,3,0,0,12,3,6:20:00 AM,0,N,Cutlines are 5m wide. On eis 5 m away and the other is 15m away.
6/26/2014,CO21109G,CO21109G-1,32,5:40:00 AM,n_a,1,0,0,14,2,0,0,11.3,3,5:50:00 AM,0,Y,Cut line is 5m wide. Road is 40m wide and pipeline is 20m wide. See drawing.
6/24/2014,CO21201G,CO21201G-1,32,4:45:00 AM,n_a,1,0,0,14.3,3,0,0,12.7,3,4:55:00 AM,1,N,
6/24/2014,CO21202G,CO21202G-1,32,8:00:00 AM,n_a,1,1,0,21.6,1,1,0,22.6,1,8:10:00 AM,1,N,Noise: compression station. Thermometer in the sun.
6/24/2014,CO21203G,CO21203G-1,32,8:30:00 AM,n_a,1,2,0,18.4,1,3,0,18.1,0,8:40:00 AM,0,N,
6/24/2014,CO21204G,CO21204G-1,32,7:00:00 AM,n_a,1,0,0,15.2,2,2,0,14.2,2,7:10:00 AM,0,N,
6/24/2014,CO21205G,CO21205G-1,32,7:30:00 AM,n_a,1,2,0,16.8,1,2,0,15.6,1,7:40:00 AM,,,
6/24/2014,CO21205N,CO21205N-1,28,6:25:00 AM,n_a,1,1,0,14.5,1,1,0,14.3,1,6:35:00 AM,0,N,
6/24/2014,CO21205R,CO21205R-1,28,4:42:00 AM,n_a,1,0,0,13.3,2,0,0,12,2,4:52:00 AM,1,N,
6/24/2014,CO21206G,CO21206G-1,32,5:10:00 AM,n_a,1,0,0,15.3,2,0,0,13,1,5:20:00 AM,0,N,
6/24/2014,CO21206N,CO21206N-1,28,7:19:00 AM,n_a,1,0,0,17.3,1,0,0,16.7,1,7:29:00 AM,0,N,Point accidentally called co21207n on recording
6/24/2014,CO21206W,CO21206W-1,28,5:19:00 AM,n_a,1,0,0,11.7,2,0,0,11.6,1,5:29:00 AM,1,N,
6/24/2014,CO21207G,CO21207G-1,32,5:35:00 AM,n_a,1,0,0,15.8,1,0,0,12.7,1,5:45:00 AM,0,N,
6/24/2014,CO21207N,CO21207N-1,28,6:55:00 AM,n_a,1,1,0,15.8,1,0,0,16.1,1,7:05:00 AM,0,N,Point accidentally called co21206n on recording
6/24/2014,CO21207P,CO21207P-1,28,5:56:00 AM,n_a,1,0,0,13.5,1,1,0,13.7,1,6:06:00 AM,1,N,
6/24/2014,CO21208G,CO21208G-1,32,6:00:00 AM,n_a,1,2,0,13.4,2,,,,,6:10:00 AM,0,N,
6/24/2014,CO21209G,CO21209G-1,32,6:30:00 AM,n_a,1,0,0,14.6,2,2,0,13.5,1,6:40:00 AM,0,N,
6/27/2014,CO21209N,CO21209N-1,28,9:23:00 AM,n_a,1,0,0,17.1,0,0,0,15.9,0,9:33:00 AM,1,Y,
6/27/2014,CO21209P,CO21209P-1,28,8:52:00 AM,n_a,1,0,0,19.2,0,0,0,18.9,0,9:02:00 AM,0,Y,
6/27/2014,CO21210N,CO21210N-1,28,8:12:00 AM,n_a,1,0,0,15.1,0,0,0,15.1,0,8:22:00 AM,1,Y,Noise from mosquitoes
6/27/2014,CO21210S,CO21210S-1,28,7:49:00 AM,n_a,1,0,0,14.9,0,0,0,14.4,0,7:59:00 AM,1,Y,"No seismic line, mapped line is actually a boggy depression/stream ~5m across. Noise from mosquitoes"
6/27/2014,CO21211N,CO21211N-1,28,7:22:00 AM,n_a,1,0,0,13.1,1,0,0,13.5,1,7:32:00 AM,1,Y,30m from 5m seismic line. Noise from mosquitoes
6/27/2014,CO21211S,CO21211S-1,28,6:59:00 AM,n_a,1,0,0,14,1,0,0,12.8,1,7:09:00 AM,1,Y,Noise from mosquitoes
6/24/2014,CO21212N,CO21212N-1,28,9:10:00 AM,n_a,1,2,0,18.5,0,2,0,18.2,0,9:20:00 AM,0,N,
6/24/2014,CO21212R,CO21212R-1,28,8:27:00 AM,n_a,1,2,0,20.9,0,3,0,19.9,0,8:37:00 AM,0,N,
6/27/2014,CO21213N,CO21213N-1,28,5:06:00 AM,n_a,1,0,0,10.9,2,0,0,10.9,2,5:16:00 AM,0,Y,Quiet as hell on a Sunday
6/27/2014,CO21213S,CO21213S-1,28,6:18:00 AM,n_a,1,0,0,11.2,2,0,0,11.1,2,6:28:00 AM,1,Y,Noise from mosquitoes
6/27/2014,CO21214N,CO21214N-1,28,5:30:00 AM,n_a,1,0,0,10.5,2,0,0,9.9,2,5:40:00 AM,0,Y,
6/27/2014,CO21214S,CO21214S-1,28,5:59:00 AM,n_a,1,0,0,11.8,2,0,0,11.1,2,6:09:00 AM,0,Y,
6/25/2014,CO21301G,CO21301G-1,28,5:57:00 AM,n_a,1,0,0,12.4,0,0,0,12.5,0,6:07:00 AM,0,N,
6/27/2014,CO21301N,CO21301N-1,32,6:40:00 AM,n_a,1,0,0,11.2,2,0,0,11.2,1,6:50:00 AM,1,N,Noise: insects (mosquitoes)
6/27/2014,CO21301W,CO21301W-1,32,9:05:00 AM,n_a,1,0,0,19.5,0,0,0,20.6,0,9:15:00 AM,0,N,Well pad is 60x60m
6/25/2014,CO21302G,CO21302G-1,28,5:36:00 AM,n_a,1,0,0,12.1,0,0,0,11.4,0,5:46:00 AM,0,N,
6/27/2014,CO21302S,CO21302S-1,32,9:30:00 AM,n_a,1,1,0,22.7,0,2,0,22.6,0,9:40:00 AM,0,N,
6/25/2014,CO21303G,CO21303G-1,28,5:12:00 AM,n_a,1,0,0,12.6,0,0,0,12.6,0,5:22:00 AM,0,N,
6/27/2014,CO21303N,CO21303N-1,32,6:16:00 AM,n_a,1,0,0,12.1,3,0,0,11.9,2,6:26:00 AM,1,N,Noise: insects (mosquitoes)
6/27/2014,CO21303P,CO21303P-1,32,8:15:00 AM,n_a,1,0,0,15.3,0,0,0,20.7,0,8:25:00 AM,1,N,Noise: insects (mosquitoes). Second reading of thermometer in the sun.
6/25/2014,CO21304G,CO21304G-1,28,8:36:00 AM,n_a,1,1,0,17,0,1,0,17,0,8:46:00 AM,0,N,
6/27/2014,CO21304N,CO21304N-1,32,5:50:00 AM,n_a,1,0,0,11.7,3,0,0,11.5,3,6:00:00 AM,1,N,Noise: insects (mosquitoes)
6/27/2014,CO21304W,CO21304W-1,32,5:05:00 AM,n_a,1,0,0,10.1,3,0,0,9.5,3,5:15:00 AM,1,N,Noise: insects (mosquitoes)
6/25/2014,CO21305G,CO21305G-1,28,6:57:00 AM,n_a,1,1,0,15.1,0,1,0,13.6,0,7:07:00 AM,0,N,
6/27/2014,CO21305N,CO21305N-1,32,7:20:00 AM,n_a,1,0,0,12.3,1,0,0,12.3,0,7:30:00 AM,0,N,
6/27/2014,CO21305P,CO21305P-1,32,7:45:00 AM,n_a,1,0,0,13.1,1,0,0,13.6,0,7:55:00 AM,1,N,Noise: insects (mosquitoes)
6/25/2014,CO21306G,CO21306G-1,28,6:33:00 AM,n_a,1,1,0,16,0,1,0,17.4,0,6:43:00 AM,0,N,
6/25/2014,CO21307G,CO21307G-1,28,7:28:00 AM,n_a,1,1,0,14.7,0,1,0,14.4,0,7:38:00 AM,0,N,
6/25/2014,CO21307N,CO21307N-1,32,5:25:00 AM,n_a,1,0,0,12,0,0,0,11.2,0,5:35:00 AM,1,N,Noise: insects (mosquitoes). SL is 6m wide.
6/25/2014,CO21307R,CO21307R-1,32,5:00:00 AM,n_a,1,0,0,12.5,0,1,0,12.5,0,5:10:00 AM,0,N,
6/25/2014,CO21308G,CO21308G-1,28,7:47:00 AM,n_a,1,1,0,14.7,0,1,0,16.7,0,7:57:00 AM,0,N,
6/25/2014,CO21309G,CO21309G-1,28,8:11:00 AM,n_a,1,1,0,17.2,0,1,0,18,0,8:21:00 AM,0,N,
6/25/2014,CO21309N,CO21309N-1,28,9:41:00 AM,n_a,1,2,0,20.4,0,2,0,20,0,9:51:00 AM,0,N,
6/25/2014,CO21309P,CO21309P-1,28,9:13:00 AM,n_a,1,2,0,19.5,0,2,0,18.9,0,9:23:00 AM,0,N,
6/25/2014,CO21310N,CO21310N-1,32,6:25:00 AM,n_a,1,1,0,14.1,0,1,0,14.7,0,6:35:00 AM,0,N,SLs are 5m wide
6/25/2014,CO21310R,CO21310R-1,32,6:00:00 AM,n_a,1,1,0,12.9,0,1,0,12.9,0,6:10:00 AM,0,N,
6/25/2014,CO21311N,CO21311N-1,32,7:45:00 AM,n_a,1,3,0,16.7,0,2,0,19.4,0,7:55:00 AM,0,N,SL is 5m wide
6/25/2014,CO21311P,CO21311P-1,32,7:25:00 AM,n_a,1,2,0,14.5,0,3,0,14.6,0,7:35:00 AM,0,N,
6/25/2014,CO21312N,CO21312N-1,32,8:10:00 AM,n_a,1,3,0,22.2,0,2,0,19.1,0,8:20:00 AM,0,N,sl = 5M wide
6/25/2014,CO21312P,CO21312P-1,32,8:35:00 AM,n_a,1,2,0,21,0,2,0,21.3,0,8:45:00 AM,1,N,Noise: insects (black flies)
6/26/2014,CO21401G,CO21401G-1,26,6:34:00 AM,n_a,1,0,0,12.4,2,0,0,12.3,2,6:44:00 AM,2,Y,NOISE DUE TO TRAFFIC ON HWY 881 AND MOSQUITOS
6/26/2014,CO21402G,CO21402G-1,26,6:08:00 AM,n_a,1,0,0,11.5,2,0,0,11.7,2,6:18:00 AM,2,Y,NOISE IS DUE TO MOSQUITOS AND DISTANT TRAFFIC. SEISMIC LINES ARE 2-3M WIDE
6/26/2014,CO21403G,CO21403G-1,26,5:45:00 AM,n_a,1,0,0,10.8,0,0,0,10.2,2,5:55:00 AM,1,Y,NOISE IS DUE TO RAILWAY TRAFFIC AND MOSQUITOS
6/26/2014,CO21404G,CO21404G-1,26,5:03:00 AM,n_a,1,0,0,13.9,0,0,0,10.7,0,5:13:00 AM,1,Y,NOISE DUE TO MOSQUITOS
6/26/2014,CO21405G,CO21405G-1,26,7:28:00 AM,n_a,1,0,0,15.8,2,1,0,14.6,2,7:38:00 AM,2,Y,"20xWWCR (VISUAL AND CALLING ID) FLUSHED UPON ARRIVAL. NOISE IS DUE TO HWY 881, MOSQUITOS AND LOGGING NEARBY. SEISMIC LINES ARE ~2M WIDE. BOCH SINGING <50M IN QUADRANT 3 AFTER PC. ATTW (VISUAL AND CALLING ID) <50M IN QUADRANT 2 AFTER PC. "
6/26/2014,CO21406G,CO21406G-1,26,7:02:00 AM,n_a,1,0,0,14.6,2,0,0,15.7,2,7:12:00 AM,2,Y,NOISE IS DUE TO HWY 881 TRAFFIC AND MOSQUITOS. SEISMIC LINES ARE ~2M WIDE. WIWR SANG >100M IN QUADRANT 1 AFTER PC.
6/26/2014,CO21407G,CO21407G-1,26,8:18:00 AM,n_a,1,0,0,17.4,2,0,0,18.1,2,8:28:00 AM,1,Y,"NOISE DUE TO RAILWAY TRACKS, HWY 881 AND MOSQUITOS. BOCH CALLING 50-100M IN QUADRANT 4 AFTER PC."
6/26/2014,CO21407N,CO21407N-1,87,5:00:00 AM,n_a,1,0,0,13.2,0,0,0,12.7,0,5:10:00 AM,1,Y,Mosquito noise.  PHVI sang to NE within 50m after the PC.
6/26/2014,CO21407P,CO21407P-1,87,4:11:00 AM,n_a,1,2,0,13.8,1,2,0,11.1,1,4:21:00 AM,1,Y,Distant machinery and mosquito noise.
6/26/2014,CO21408G,CO21408G-1,26,8:47:00 AM,n_a,1,1,0,19.5,2,0,0,20.9,2,8:57:00 AM,1,Y,NOISE DUE TO MOSQUITOS
6/26/2014,CO21408N,CO21408N-1,87,6:35:00 AM,n_a,1,0,0,14.6,0,1,0,13.7,0,6:45:00 AM,2,Y,Machinery and mosquitos.
6/26/2014,CO21408R,CO21408R-1,87,5:52:00 AM,n_a,1,0,0,14.2,1,2,0,13.9,1,6:02:00 AM,1,Y,"Machinery, mosquitos and a nearby stream noise."
6/26/2014,CO21409G,CO21409G-1,26,4:23:00 AM,n_a,1,0,0,12.4,0,0,0,11.4,0,4:33:00 AM,0,Y,
6/26/2014,CO21409N,CO21409N-1,87,8:40:00 AM,n_a,1,1,0,18.1,3,1,0,17.6,3,8:50:00 AM,1,Y,High thin clouds.Distant machinery and mosquitos.  The area has very steep hills and gullys.  There is a seismic line I crossed  ~45m to the North going essentially North-South that may be ATV'able if not blocked by downed logs or too steep.
6/26/2014,CO21409R,CO21409R-1,87,7:18:00 AM,n_a,1,2,0,15.5,1,1,0,16.9,2,7:28:00 AM,1,Y,"Machinery, mosquitos and a stopped/passing Jeep.  "
5/31/2014,CO21501G,CO21501G-1,28,5:23:00 AM,n_a,1,0,0,1.1,0,1,0,0.4,0,5:33:00 AM,1,N,near highway
5/31/2014,CO21502G,CO21502G-1,28,5:55:00 AM,n_a,1,0,0,1.8,0,0,0,1.3,0,6:05:00 AM,1,N,
5/31/2014,CO21503G,CO21503G-1,28,6:44:00 AM,n_a,1,0,0,6.2,0,0,0,6.2,0,6:54:00 AM,2,N,Noise due to stream
5/31/2014,CO21504G,CO21504G-1,28,7:21:00 AM,n_a,1,0,0,11.4,0,0,0,14.1,0,7:31:00 AM,1,N,
5/31/2014,CO21505G,CO21505G-1,28,10:06:00 AM,n_a,1,1,0,20,1,1,0,19.7,1,10:16:00 AM,1,N,
5/31/2014,CO21506G,CO21506G-1,28,9:36:00 AM,n_a,1,1,0,16.5,0,1,0,17.4,0,9:46:00 AM,1,N,
5/31/2014,CO21507G,CO21507G-1,28,8:54:00 AM,n_a,1,0,0,17.9,0,0,0,15.3,0,9:04:00 AM,1,N,
5/31/2014,CO21508G,CO21508G-1,28,8:24:00 AM,n_a,1,0,0,17.5,0,0,0,17.9,0,8:34:00 AM,1,N,
5/31/2014,CO21508N,CO21508N-1,32,8:50:00 AM,n_a,1,0,0,18.5,0,0,0,18.2,0,9:00:00 AM,0,N,
5/31/2014,CO21508P,CO21508P-1,32,8:09:00 AM,n_a,1,0,0,15,0,0,0,17.9,0,8:19:00 AM,1,N,"GPS coordinate is not located in the middle of the pipeline, so observer moved. Noise is plant and road in the distance "
5/31/2014,CO21509G,CO21509G-1,28,7:54:00 AM,n_a,1,0,0,14.2,0,0,0,14.7,0,8:04:00 AM,1,N,
5/31/2014,CO21509N,CO21509N-1,32,6:24:00 AM,n_a,1,0,0,4.4,0,0,0,4.4,0,6:34:00 AM,0,N,
5/31/2014,CO21509P,CO21509P-1,32,5:55:00 AM,n_a,1,0,0,,0,0,0,1.5,0,6:05:00 AM,1,N,Noise if traffic of 881 in the distance
5/31/2014,CO21512N,CO21512N-1,32,7:04:00 AM,n_a,1,0,0,6.4,0,0,0,7.5,0,7:14:00 AM,1,N,Noise is road 881 in the distance. Very ol cut line (6m wide). See photos.
5/31/2014,CO21512P,CO21512P-1,32,5:20:00 AM,n_a,1,0,0,4.3,0,0,0,-0.4,0,5:30:00 AM,0,N,Pipeline is 30m wide with regen (Aw) sapplings in the middle (8m)
6/22/2014,CO21601G,CO21601G-1,26,9:29:00 AM,n_a,1,1,0,16.3,3,0,0,16.7,3,9:39:00 AM,0,Y,RWBL AND FOTE ALREADY RECORDED IN PREVIOUS PC
6/22/2014,CO21601R,CO21601R-1,87,9:27:00 AM,n_a,1,0,2,15.9,3,1,0,18.8,3,9:37:00 AM,2,N,Machinery and mosquitos.  REVI sang after the PC.
6/22/2014,CO21602G,CO21602G-1,26,4:44:00 AM,n_a,1,0,0,12.7,3,0,0,12.7,3,4:54:00 AM,0,Y,
6/22/2014,CO21602R,CO21602R-1,87,8:55:00 AM,n_a,1,2,0,17.1,3,2,0,16.9,3,9:05:00 AM,1,N,"Machinery and mosquitos, wind gusts to 3 and 4.  A BHVI called within 50m in SE and a WTSP sang at 50-100m in SW after the PC."
6/22/2014,CO21603G,CO21603G-1,26,5:28:00 AM,n_a,1,0,0,13,3,2,0,12.6,3,5:38:00 AM,1,Y,"GRAJ CALLING <50M IN QUADRANT 1 AFTER PC. NOISE DUE TO GAS MONITOR, LIGHT WIND IN AW CANOPY AND MOSQUITOS. (SORRY, I TURNED OFF MY GAS MONITOR DURING MINUTE 4 - CO ALARM WAS ABOUT TO GO OFF)"
6/27/2014,CO21603S,CO21603S-1,87,9:14:00 AM,n_a,1,1,0,19.6,1,2,0,19.5,1,9:24:00 AM,0,N,It rained hard the previous afternoon and evening.  Mosquito noise.
6/22/2014,CO21604G,CO21604G-1,26,6:02:00 AM,n_a,1,1,0,13,3,1,0,13.1,3,6:12:00 AM,0,Y,CONW SINGING IN QUADRANT 4 BEFORE PC.
6/22/2014,CO21604N,CO21604N-1,87,8:15:00 AM,n_a,1,2,0,16.2,3,2,0,16.5,3,8:25:00 AM,0,N,2-3 x CEWA called a few meters South before the PC. 
6/22/2014,CO21604R,CO21604R-1,87,6:21:00 AM,n_a,1,2,0,16,3,2,0,16,3,6:31:00 AM,2,N,"Machinery, mosquitos, and REVI noise.  Wind started at a 2, changed to 3, and returned to 2.  The dirt road is 10m wide with 5m wide vegetated (sedges and willows mostly) borders."
6/22/2014,CO21605G,CO21605G-1,26,7:42:00 AM,n_a,1,0,0,15.5,3,0,0,15.2,3,7:52:00 AM,0,Y,
6/22/2014,CO21605N,CO21605N-1,87,5:45:00 AM,n_a,1,0,0,13.3,3,0,0,11.6,3,5:55:00 AM,1,N,
6/22/2014,CO21605R,CO21605R-1,87,4:38:00 AM,n_a,1,0,0,12.9,3,1,0,11.9,3,4:48:00 AM,1,N,Faint machinery and annoying mosquitos.
6/22/2014,CO21606G,CO21606G-1,26,9:05:00 AM,n_a,1,0,2,15.8,3,0,1,15.4,3,9:15:00 AM,0,Y,NO RECORDING DUE TO LIGHT RAIN FALLING. SHOREBIRDS FROM NEARBY LAKE WERE ALREADY COUNTED IN PREVIOUS PC.
6/22/2014,CO21607G,CO21607G-1,26,8:33:00 AM,n_a,1,0,0,15.6,3,0,0,15.1,3,8:43:00 AM,0,Y,GRAJ CALLING <50M IN QUADRANT 4 AFTER PC
6/27/2014,CO21607N,CO21607N-1,26,7:55:00 AM,n_a,1,0,1,14.6,3,0,1,14.2,3,8:05:00 AM,0,Y,SORRY FOR ALL MY MOVEMENTS IN THE RECORDING - THE MOSQUITOES ARE BRUTAL TODAY
6/22/2014,CO21608G,CO21608G-1,26,7:11:00 AM,n_a,1,0,0,14.8,3,1,0,14.6,3,7:21:00 AM,0,Y,SORRY FOR THE NOISE. HAD TO DIG OUT BINOCULARS DURING PC TO IDENTIFY YRWA. MY STOMACH GROWLED DURING PC. 
6/22/2014,CO21609G,CO21609G-1,26,6:34:00 AM,n_a,1,0,0,14.2,3,0,0,13.7,3,6:44:00 AM,0,Y,CMWA SINGING <50M IN QUADRANT 3 AFTER PC. 
6/22/2014,CO21671N,CO21671N-1,87,7:13:00 AM,n_a,1,0,0,16.7,3,3,0,15.8,3,7:23:00 AM,3,N,"01N is located on the Chippewan First Nations Reserve thus I moved and changed 07R's paired partner to 71N (I was also told to avoid the compressor station near the map's center).  High thin clouds.  Machinery and mosquitos, wind gusts to 3.  the TEWAs and OVENs made it harder to hear far."
6/27/2014,CO21673N,CO21673N-1,26,9:24:00 AM,n_a,1,0,0,17.1,2,0,0,17.6,2,9:34:00 AM,0,Y,
6/27/2014,CO21674N,CO21674N-1,87,8:28:00 AM,n_a,1,0,0,17.6,3,0,0,18.9,3,8:38:00 AM,1,N,"It rained hard the previous afternoon and evening.  Mosquito noise.  A WISN winnowed all over the South, a RESQ called to NE at 50-100m, a YBFL sang within 50m  plus a BOCH within 50m in the NW all afte the PC."
6/27/2014,CO21674S,CO21674S-1,87,7:32:00 AM,n_a,1,0,1,16.4,3,1,1,19.5,3,7:42:00 AM,1,N,Mosquito noise.  It rained hard the previous afternoon and evening but not overnight.  A COYE sang to SE within 50m and a RESQ called to the West after the PC.
6/27/2014,CO21675N,CO21675N-1,26,8:31:00 AM,n_a,1,0,0,16,3,0,0,16.2,2,8:41:00 AM,0,Y,
6/27/2014,CO21675S,CO21675S-1,26,7:27:00 AM,n_a,1,0,1,14.1,3,0,1,13.9,3,7:37:00 AM,0,Y,BOCH CALLING <50M IN QUADRANT 1 AFTER PC. DEJU SINGING <50M IN QUADRANT 3 AFTER PC. 
6/27/2014,CO21677S,CO21677S-1,26,6:58:00 AM,n_a,1,0,1,14.3,3,0,1,13.1,3,7:08:00 AM,0,Y,"PRECIPITATION IS FOG, SEISMIC LINE ~7M WIDE"
6/25/2014,CO21701G,CO21701G-1,87,7:21:00 AM,n_a,1,3,0,15,0,3,0,14.8,0,7:31:00 AM,2,N,"Intermittent HWY 881 traffic, gusty wind and a moaning tree.  A winnowing WISN was recorded at 06G.  A CEWA sang within 50m in NE after the PC. "
6/25/2014,CO21701N,CO21701N-1,63,8:20:00 AM,n_a,1,2,0,18,0,3,0,19,0,8:30:00 AM,0,N,
6/25/2014,CO21701R,CO21701R-1,63,9:20:00 AM,n_a,1,1,0,20,0,1,0,20,0,9:30:00 AM,0,N,
6/25/2014,CO21702G,CO21702G-1,87,8:02:00 AM,n_a,1,3,0,15.4,0,3,0,15.8,0,8:12:00 AM,3,N,Intermittent HWY 881 traffic.  An AMRE and EVGR sang within 50m in the SW and a TEWA sang within 50m in SE after the PC. 
6/25/2014,CO21702N,CO21702N-1,63,6:50:00 AM,n_a,1,1,0,16,0,2,0,17,0,7:00:00 AM,0,N,
6/25/2014,CO21702W,CO21702W-1,63,7:37:00 AM,n_a,1,3,0,17,0,2,0,18,0,7:47:00 AM,0,N,
6/25/2014,CO21703G,CO21703G-1,87,8:47:00 AM,n_a,1,3,0,17.5,0,3,0,17.8,0,8:57:00 AM,3,N,Highway 881: intermittent traffic and wind gusts to 5.  Before PC: BBWO female was seen and heard calling at 50-100m in NW.  An OVEN sang 50-100m to SW and a countersinging OVEN to NE within 50m afte the PC.  
6/25/2014,CO21703N,CO21703N-1,26,9:00:00 AM,n_a,1,3,0,17.5,0,3,0,17.2,0,9:10:00 AM,2,N,NOISE IS DUE TO WIND AND DISTANT TRAFFIC ON HWY 881. WIND GUSTING TO 4
6/25/2014,CO21703P,CO21703P-1,63,9:59:00 AM,n_a,1,2,0,20,0,3,0,21,0,10:09:00 AM,0,N,wind gusts to 5
6/25/2014,CO21704G,CO21704G-1,87,5:07:00 AM,n_a,1,0,0,14.4,1,1,0,11.6,1,5:17:00 AM,3,N,HWY 881 traffic and mosquitos.  A YBFL sang within 50m to NE after PC.
6/25/2014,CO21704N,CO21704N-1,26,8:07:00 AM,n_a,1,3,0,18.9,0,3,0,15.6,0,8:17:00 AM,2,N,WIND GUSTING TO 4. NOISE DUE TO WIND AND MOSQUITOES
6/25/2014,CO21704R,CO21704R-1,26,7:34:00 AM,n_a,1,3,0,18.1,0,3,0,20.2,0,7:44:00 AM,2,N,NOISE DUE TO WIND. STILL THINK I CAN HEAR ~70M AROUND ME. WIND GUSTING TO 4
6/25/2014,CO21705G,CO21705G-1,87,5:50:00 AM,n_a,1,0,0,14.5,0,1,0,13.5,0,6:00:00 AM,2,N,HWY 881 traffic and mosquitos.  Noise intermittently louder than a 2.
6/25/2014,CO21705N,CO21705N-1,26,6:25:00 AM,n_a,1,0,0,14.8,0,2,0,13.5,0,6:35:00 AM,1,N,NOISE DUE TO MOSQUITOS AND HWY 881 TRAFFIC TO THE EAST AND WIND
6/25/2014,CO21705R,CO21705R-1,26,7:06:00 AM,n_a,1,2,0,14.7,0,2,0,13.9,0,7:16:00 AM,1,N,
6/25/2014,CO21706G,CO21706G-1,87,6:38:00 AM,n_a,1,1,0,16.3,0,1,0,16,0,6:48:00 AM,2,N,HWY 881 traffic and mosquitos.  
6/25/2014,CO21706N,CO21706N-1,26,8:01:00 AM,n_a,1,1,0,17.7,1,2,0,15.7,1,8:11:00 AM,2,N,NOISE IS DUE TO HWY 881 ~370M EAST OF HERE
6/25/2014,CO21706W,CO21706W-1,26,9:02:00 AM,n_a,1,1,0,18.7,1,2,0,20.1,1,9:12:00 AM,1,N,"PC IN TWO PARTS BECAUSE AN ANIMAL ENTERED THE WELL PAD, HAD TO SCARE IT OFF"
6/25/2014,CO21707G,CO21707G-1,63,5:11:00 AM,n_a,1,0,0,17,0,0,0,17,0,5:21:00 AM,1,N,highway noise
6/25/2014,CO21708G,CO21708G-1,63,4:34:00 AM,n_a,1,0,0,16,0,0,0,16,0,4:44:00 AM,0,N,
6/25/2014,CO21709G,CO21709G-1,87,4:30:00 AM,n_a,1,0,0,15.1,0,1,0,12.7,0,4:40:00 AM,3,N,"HWY 881 traffic and machinery, intermittent noise level to 4."
6/25/2014,CO21709N,CO21709N-1,26,4:49:00 AM,n_a,1,0,0,13.3,0,0,0,13.5,0,4:59:00 AM,1,N,NOISE DUE TO MOSQUITOES AND DISTANT TRAFFIC ON HWY 881
6/25/2014,CO21709R,CO21709R-1,26,5:29:00 AM,n_a,1,0,0,10.3,0,0,0,9.7,0,5:39:00 AM,1,N,NOISE DUE TO TRAFFIC ON HWY 881TO THE EAST
6/24/2014,CO21710N,CO21710N-1,87,8:57:00 AM,n_a,1,2,0,20.5,0,2,0,16.5,0,9:07:00 AM,3,N,"Intermittent HWY881 traffic, mosquitos and difficult to hear quieter and further birds due to OVEN and TEWA noise.  I think I'm getting snippets of a third BBWA singing (8:81z)"
6/24/2014,CO21710W,CO21710W-1,87,8:02:00 AM,n_a,1,2,0,19.6,0,2,0,25.2,0,8:12:00 AM,2,N,Highway 881: intermittent traffic.
6/23/2014,CO21801G,CO21801G-1,26,8:15:00 AM,n_a,1,1,0,16.9,3,1,0,17.5,3,8:25:00 AM,2,N,WISN AND UNSA @1:00 ALREADY RECORDED IN CO21802G PC. YRWA SINGING <50M IN QUADRANT 1 AFTER PC
6/23/2014,CO21802G,CO21802G-1,26,7:47:00 AM,n_a,1,0,0,16.4,3,0,0,16,3,7:57:00 AM,3,N,NOISE DUE TO REFINERY CONSTRUCTION AND OIL DRILLING TO THE NORTH AND HWY 881 IN THE WEST
6/23/2014,CO21803G,CO21803G-1,26,4:09:00 AM,n_a,1,0,0,15,3,0,0,11.5,3,4:19:00 AM,4,N,NOISE DUE TO COMPRESSOR/CONSTRUCTION STIE ~150M IN NE AND WHY 881 ~100M WEST. I CAN HEAR ABOUT 50M AROUND ME
6/23/2014,CO21805G,CO21805G-1,26,7:19:00 AM,n_a,1,0,0,16.5,2,0,0,16.6,2,7:29:00 AM,4,N,NOISE DUE TO OIL DRILL AND REFINERY CONSTRUCTION ~150M TO THE NE. CAN HEAR ONLY ABOUT 50M AROUND ME. DEJU VISUAL FLUSHED UPON ARRIVAL <50M IN QUADRANT 2. 
6/23/2014,CO21806G,CO21806G-1,26,6:44:00 AM,n_a,1,0,0,15.3,3,0,0,15,3,6:54:00 AM,2,N,NOISE DUE TO HWY 881 AND CONSTRUCTION OF NEW OIL REFINERY IN THE NE DIRECTION
6/23/2014,CO21807G,CO21807G-1,26,6:15:00 AM,n_a,1,0,2,15.2,2,0,0,15,2,6:25:00 AM,2,N,NO RECORDING DUE TO LIGHT RAIN/DRIZZLE
6/23/2014,CO21808G,CO21808G-1,26,5:44:00 AM,n_a,1,0,0,13.6,3,0,0,13.5,3,5:54:00 AM,3,N,"NOISE DUE TO TRAFFIC ON PIPELINE, OIL RIG DRILLING AND CONSTRUCTION OF NEW REFINERY. SEISMIC LINE ~3M WIDE"
6/23/2014,CO21809G,CO21809G-1,26,5:11:00 AM,n_a,1,0,0,13.1,3,0,0,12.2,3,5:21:00 AM,2,N,NOISE DUE TO ACTIVE OIL RIG AND CONSTRUCTION TO THE SW
6/23/2014,CO21810G,CO21810G-1,87,8:16:00 AM,n_a,1,1,0,17,3,1,0,17.2,3,8:26:00 AM,1,N,Very bad mosquitos.  A CHSP sang within 50m in SE afte the PC.
6/23/2014,CO21811G,CO21811G-1,87,8:56:00 AM,n_a,1,0,0,18.2,3,1,0,18,3,9:06:00 AM,1,N,Booming/pounding of machinery and mosquitos.
